# name	source	id
digital-signature	wikidata	Q220849
hmac	wikidata	Q1669397
information-security	wikidata	Q189900
security-vulnerability	wikidata	Q631425
security-exploit	wikidata	Q11287
zero-day-exploit	wikidata	Q846726
malware	wikidata	Q14001
computer-virus	wikidata	Q485
computer-worm	wikidata	Q180712
trojan-horse-malware	wikidata	Q14639
ransomware	wikidata	Q926331
spyware	wikidata	Q14644
rootkit	wikidata	Q14645
botnet	wikidata	Q317671
phishing	wikidata	Q135005
denial-of-service-attack	wikidata	Q131406
sql-injection	wikidata	Q506059
cross-site-scripting	wikidata	Q371199
man-in-the-middle-attack	wikidata	Q554830
social-engineering-attack	wikidata	Q376934
software-sandbox	wikidata	Q842193
penetration-test	wikidata	Q1501923
intrusion-detection-system	wikidata	Q745881
antivirus-software	wikidata	Q93249
software-patch	wikidata	Q208218
software-update	wikidata	Q15852209
semantic-web	wikidata	Q54837
resource-description-framework	wikidata	Q54872
rdf-schema	wikidata	Q1751819
web-ontology-language	wikidata	Q826165
sparql	wikidata	Q54871
turtle-syntax	wikidata	Q114409
json-ld	wikidata	Q6108942
n-triples	wikidata	Q44044
skos	wikidata	Q2288360
dublin-core	wikidata	Q624610
linked-data	wikidata	Q515701
linked-open-data	wikidata	Q18692990
triplestore	wikidata	Q3539533
rdf-graph	wikidata	Q31386861
semantic-reasoner	wikidata	Q3929429
computational-ontology	wikidata	Q324254
upper-ontology	wikidata	Q3882785
domain-ontology	wikidata	Q56316737
ontology-language	wikidata	Q7095059
ontology-alignment	wikidata	Q1224764
knowledge-graph	wikidata	Q33002955
knowledge-base	wikidata	Q593744
taxonomy	wikidata	Q7211
controlled-thesaurus	wikidata	Q17152639
controlled-vocabulary	wikidata	Q1469824
classification-scheme	wikidata	Q5962346
folksonomy	wikidata	Q494291
metadata-tag	wikidata	Q658349
hierarchy	wikidata	Q188619
tree-structure	wikidata	Q2067937
directed-graph	wikidata	Q1137726
graph-theory	wikidata	Q131476
transitive-closure	wikidata	Q1501387
transitive-reduction	wikidata	Q3088151
partial-order	wikidata	Q1069998
formal-concept-analysis	wikidata	Q1437394
wikidata	wikidata	Q2013
wikipedia	wikidata	Q52
mediawiki	wikidata	Q83
wikibase	wikidata	Q16354758
dbpedia	wikidata	Q465
yago	wikidata	Q8045810
freebase	wikidata	Q1453477
cyc	wikidata	Q1147294
wiktionary	wikidata	Q151
wikimedia-commons	wikidata	Q565
wiki	wikidata	Q171
github	wikidata	Q364
stack-overflow	wikidata	Q549037
open-data	wikidata	Q309901
open-knowledge	wikidata	Q1430808
crowdsourcing	wikidata	Q275969
information-retrieval	wikidata	Q816826
search-engine	wikidata	Q19541
web-search-engine	wikidata	Q4182287
inverted-index	wikidata	Q1671754
full-text-search	wikidata	Q83540
search-relevance	wikidata	Q1472529
tf-idf	wikidata	Q796584
okapi-bm25	wikidata	Q2068750
pagerank	wikidata	Q184316
search-query	wikidata	Q3428776
query-expansion	wikidata	Q5488129
faceted-search	wikidata	Q1519370
recommender-system	wikidata	Q554950
web-crawler	wikidata	Q45842
search-engine-optimization	wikidata	Q180711
information-architecture	wikidata	Q845921
metadata-standard	wikidata	Q1924747
digital-library	wikidata	Q212805
digital-preservation	wikidata	Q632897
file-archiver	wikidata	Q25303924
digital-archive	wikidata	Q1224984
data-curation	wikidata	Q15088675
data-lineage	wikidata	Q1172162
digital-object-identifier	wikidata	Q25670
identifier	wikidata	Q853614
universally-unique-identifier	wikidata	Q195284
persistent-identifier	wikidata	Q420330
data-deduplication	wikidata	Q1182260
data-integrity	wikidata	Q461671
backup-software	wikidata	Q4839801
data-synchronization	wikidata	Q650462
file-synchronization	wikidata	Q2203769
storage-snapshot	wikidata	Q252683
copy-on-write	wikidata	Q1131607
journaling-file-system	wikidata	Q579047
zfs	wikidata	Q136113
fuse-filesystem	wikidata	Q966451
network-file-system	wikidata	Q28380029
distributed-file-system	wikidata	Q1103464
raid	wikidata	Q179299
erasure-code	wikidata	Q5385031
data-redundancy	wikidata	Q838123
data-retention	wikidata	Q1935155
data-chunk	wikidata	Q16939392
manifest-file	wikidata	Q900856
web-feed	wikidata	Q842397
database-journal	wikidata	Q948454
configuration-file	wikidata	Q936292
hidden-file	wikidata	Q721795
source-code	wikidata	Q128751
object-code	wikidata	Q157965
binary-file	wikidata	Q218013
text-file	wikidata	Q86920
computer-file	wikidata	Q82753
file-directory	wikidata	Q201456
filename-extension	wikidata	Q186157
file-attribute	wikidata	Q1144207
hard-link	wikidata	Q599843
archive-file	wikidata	Q124843932
self-extracting-archive	wikidata	Q943442
user-interface	wikidata	Q47146
graphical-user-interface	wikidata	Q782543
text-based-user-interface	wikidata	Q184752
gui-widget	wikidata	Q605117
gui-window	wikidata	Q835016
desktop-environment	wikidata	Q205020
window-manager	wikidata	Q216653
x-window-system	wikidata	Q178481
wayland	wikidata	Q14561
human-computer-interaction	wikidata	Q207434
usability	wikidata	Q216378
web-accessibility	wikidata	Q808932
user-experience	wikidata	Q1047808
software-localization	wikidata	Q1758815
internationalization	wikidata	Q3141064
computer-font	wikidata	Q1147633
emoji	wikidata	Q1049294
unicode-block	wikidata	Q3512806
input-method	wikidata	Q529029
keyboard-layout	wikidata	Q725744
computer-mouse	wikidata	Q7987
touchscreen	wikidata	Q165970
display-device	wikidata	Q327065
printer	wikidata	Q82
image-scanner	wikidata	Q82744
peripheral	wikidata	Q178648
usb	wikidata	Q42378
pci-express	wikidata	Q206924
serial-ata	wikidata	Q188639
nvm-express	wikidata	Q17157198
computer-port	wikidata	Q13743633
computer-server	wikidata	Q44127
data-center	wikidata	Q671224
mainframe-computer	wikidata	Q177234
supercomputer	wikidata	Q121117
personal-computer	wikidata	Q16338
laptop	wikidata	Q3962
smartphone	wikidata	Q22645
tablet-computer	wikidata	Q155972
single-board-computer	wikidata	Q944780
raspberry-pi	wikidata	Q245
workstation	wikidata	Q192525
thin-client	wikidata	Q918090
network-client	wikidata	Q528166
network-node	wikidata	Q173106
hostname	wikidata	Q1073408
