sub	sup	issue
deficiency		unplaced: best single witness: condition (wordnet)
deficit		unplaced: best single witness: magnitude (wordnet)
definition		unplaced: best single witness: statement (wordnet)
definition	explanation	disputed: ['wordnet'] vs ['sumo']
degree		unplaced: best single witness: rest (sumo)
delegate		unplaced: best single witness: organism (wordnet)
demand		unplaced: best single witness: request (wordnet)
democracy		unplaced: best single witness: ideology (wordnet)
demonstrator		unplaced: best single witness: adult (wordnet)
density		unplaced: no witness places it
dependence		unplaced: best single witness: ability (sumo)
depression		unplaced: best single witness: condition (wordnet)
deputy		unplaced: best single witness: organism (wordnet)
desert		unplaced: best single witness: group (wordnet)
desire		unplaced: best single witness: feeling (wordnet)
desire	emotion	disputed: ['opencyc'] vs ['sumo']
desire	feeling	disputed: ['wordnet'] vs ['sumo']
despair		unplaced: best single witness: condition (wordnet)
detail		unplaced: best single witness: fact (wordnet)
deviation	situation	disputed: ['opencyc'] vs ['sumo']
device	jar	disputed: ['sumo'] vs ['opencyc']
device	loop	disputed: ['sumo'] vs ['wordnet']
device	notebook	disputed: ['sumo'] vs ['opencyc']
device	shaft	disputed: ['sumo'] vs ['opencyc']
diet		unplaced: best single witness: food (wordnet)
difference		unplaced: best single witness: quality (wordnet)
difficulty		unplaced: best single witness: activity (wordnet)
dignity		unplaced: best single witness: feeling (wordnet)
dimension		unplaced: best single witness: magnitude (wordnet)
direction		unplaced: best single witness: location (wordnet)
direction	trend	disputed: ['sumo'] vs ['wordnet']
director		unplaced: best single witness: chief (wordnet)
disagreement		unplaced: best single witness: ability (sumo)
disappointment		unplaced: best single witness: desire (wordnet)
disaster		unplaced: best single witness: hardship (wordnet)
disco		unplaced: best single witness: music (wordnet)
discrimination		unplaced: best single witness: event (wordnet)
disk		unplaced: best single witness: product (yago)
display		unplaced: best single witness: revival (sumo)
disposition		unplaced: best single witness: trait (wordnet)
distance		unplaced: best single witness: relation (wordnet)
distortion		unplaced: best single witness: change (wordnet)
distributor		unplaced: best single witness: organism (wordnet)
disturbance		unplaced: best single witness: activity (wordnet)
dividend		unplaced: best single witness: relation (wordnet)
document		unplaced: best single witness: structure (sumo)
dome		unplaced: best single witness: ability (sumo)
domination		unplaced: best single witness: event (wordnet)
donor		unplaced: best single witness: organism (wordnet)
double		unplaced: best single witness: action (wordnet)
dough		unplaced: best single witness: food (wordnet)
dozen		unplaced: best single witness: quantity (wordnet)
draft		unplaced: best single witness: legal-document (wordnet)
dragon		unplaced: best single witness: imagination (wordnet)
drama		unplaced: best single witness: structure (sumo)
drawing		unplaced: best single witness: graphics (wordnet)
drawing	graphics	disputed: ['wordnet'] vs ['sumo']
dream		unplaced: best single witness: knowledge (wordnet)
driver		unplaced: best single witness: ability (sumo)
drop		unplaced: best single witness: ability (sumo)
dust		unplaced: best single witness: relation (wordnet)
duty		unplaced: best single witness: event (wordnet)
east		unplaced: best single witness: relation (wordnet)
echo		unplaced: best single witness: revival (sumo)
economist		unplaced: best single witness: scientist (wordnet)
economy		unplaced: best single witness: group (wordnet)
edge		unplaced: best single witness: location (wordnet)
edition		unplaced: best single witness: object (wordnet)
effect	example	disputed: ['sumo'] vs ['opencyc']
effect	incentive	disputed: ['sumo'] vs ['opencyc']
ego		unplaced: best single witness: feeling (wordnet)
electorate		unplaced: best single witness: group (wordnet)
electron		unplaced: best single witness: object (wordnet)
element		unplaced: best single witness: idea (wordnet)
element	idea	disputed: ['wordnet'] vs ['sumo']
element	knowledge	disputed: ['wordnet'] vs ['sumo']
elite		unplaced: best single witness: group (wordnet)
elite	people	disputed: ['wordnet'] vs ['sumo']
email		unplaced: best single witness: event (wordnet)
embarrassment		unplaced: best single witness: shame (wordnet)
embarrassment	shame	disputed: ['wordnet'] vs ['opencyc']
emergency		unplaced: best single witness: occasion (wordnet)
emotion	exemption	disputed: ['sumo'] vs ['opencyc']
emphasis		unplaced: best single witness: ability (sumo)
employee		unplaced: best single witness: organism (wordnet)
employer		unplaced: best single witness: organism (wordnet)
employment		unplaced: best single witness: ability (sumo)
end		unplaced: best single witness: location (wordnet)
energy		unplaced: best single witness: phenomenon (wordnet)
environment		unplaced: best single witness: situation (wordnet)
episode		unplaced: best single witness: natural-event (wordnet)
erosion		unplaced: best single witness: action (opencyc)
