# code	title	kind — kinds WordNet has no noun for (or only non-goods senses, marked)
1512	marble and other calcareous monumental or building stone	building stone
1513	granite, sandstone and other monumental or building stone	building stone
1520	gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a ki	anhydrite
1520	gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a ki	limestone flux
1531	natural sands	natural sands
1533	bitumen and asphalt, natural; asphaltites and asphaltic rock	asphaltites
1533	bitumen and asphalt, natural; asphaltites and asphaltic rock	asphaltic rock
1611	natural calcium phosphates, natural aluminium calcium phosphates and phosphatic 	natural calcium phosphates
1612	unroasted iron pyrites	unroasted iron pyrites
1620	salt and pure sodium chloride; sea water	pure sodium chloride
1620	salt and pure sodium chloride; sea water	sea water
1631	precious stones (including diamonds, but not industrial diamonds) and semi-preci	semi-precious stones
1632	industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; e	industrial diamonds
1632	industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; e	natural corundum
1800	natural water	natural water
2122	fish fillets and meat; fish livers and roes	fish livers
2123	fish, dried, whether or not salted, or in brine; smoked incl. fillets; edible fi	smoked incl. fillets
2124	fish, otherwise prepared or preserved; caviar and caviar substitutes	caviar substitutes
2129	flours, meals and pellets, inedible, and other products n.e.c., of fish or of cr	dead fish
2132	vegetable juices	vegetable juices
2133	vegetables provisionally preserved	vegetables provisionally preserved
2142	shelled nuts	shelled nuts
2159	animal fats and their fractions, partly or wholly hydrogenated, inter-esterified	their fractions
2161	soya bean oil	soya bean oil
2163	sunflower-seed and safflower-seed oil	safflower-seed oil
2180	cotton linters	cotton linters
2193	vegetable waxes (other than triglycerides), whether or not refined or coloured; 	degras
2193	vegetable waxes (other than triglycerides), whether or not refined or coloured; 	residues resulting
2211	processed liquid milk	processed liquid milk
2223	yoghurt and other fermented or acidified milk and cream	acidified milk
2311	wheat and meslin flour	meslin flour
2321	glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syru	glucose syrup
2321	glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syru	fructose syrup
2321	glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syru	lactose syrup
2321	glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syru	artificial honey
2323	tapioca and substitutes therefor prepared from starch, in the form of flakes, gr	substitutes therefor prepared
2332	lucerne (alfalfa) meal and pellets	lucerne meal
2341	crispbread; rusks, toasted bread and similar toasted products	crispbread
2341	crispbread; rusks, toasted bread and similar toasted products	toasted bread
2342	gingerbread and the like; sweet biscuits; waffles and wafers	sweet biscuits
2353	refined cane or beet sugar, in solid form, containing added flavouring or colour	refined cane
2361	cocoa paste, whether or not defatted	cocoa paste
2367	sugar confectionery (including white chocolate), not containing cocoa; vegetable	sugar confectionery
2367	sugar confectionery (including white chocolate), not containing cocoa; vegetable	fruit-peel
2371	uncooked pasta, not stuffed or otherwise prepared	uncooked pasta
2392	spices and aromatics, processed	aromatics
2411	undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or highe	undenatured ethyl alcohol
2413	undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vo	undenatured ethyl alcohol
2421	wine of fresh grapes, whether or not flavoured; grape must	grape must
2501	cured stemmed/stripped tobacco leaves	cured stemmed/stripped tobacco leaves
2509	other manufactured tobacco and manufactured tobacco substitutes; "homogenized" o	manufactured tobacco substitutes
2509	other manufactured tobacco and manufactured tobacco substitutes; "homogenized" o	reconstituted tobacco
2509	other manufactured tobacco and manufactured tobacco substitutes; "homogenized" o	tobacco extracts
2613	wool, degreased or carbonized, not carded or combed	degreased
2613	wool, degreased or carbonized, not carded or combed	carbonized
2614	noils of wool or of fine animal hair	noils
2615	wool and fine or coarse animal hair, carded or combed	coarse animal hair
2621	synthetic staple fibres, carded, combed or otherwise processed for spinning	synthetic staple fibres
2622	artificial staple fibres, carded, combed or otherwise processed for spinning	artificial staple fibres
2631	silk yarn and yarn spun from silk waste; silk-worn gut	silk yarn
2631	silk yarn and yarn spun from silk waste; silk-worn gut	yarn spun
2631	silk yarn and yarn spun from silk waste; silk-worn gut	silk-worn gut
2635	cotton sewing thread	cotton sewing thread
2636	cotton yarn (other than sewing thread), containing 85% or more by weight of cott	cotton yarn
2637	cotton yarn (other than sewing thread), containing less than 85% by weight of co	cotton yarn
2638	yarn of vegetable textile fibres other than cotton (including flax, jute, coir a	paper yarn
2641	sewing thread of man-made filaments or staple fibres	sewing thread
2642	yarn of man-made filaments, multiple or cabled (other than sewing thread, high t	man-made filament yarn
2651	woven fabrics of silk or of silk waste	woven fabrics
2652	woven fabrics of carded wool or of carded fine animal hair, containing 85% or mo	woven fabrics
2653	woven fabrics of combed wool or of combed fine animal hair, containing 85% or mo	woven fabrics
2654	woven fabrics of wool or fine animal hair, containing less than 85% by weight of	woven fabrics
2655	woven fabrics of coarse animal hair or of horsehair	woven fabrics
2656	woven fabrics of flax	woven fabrics
2657	woven fabrics of jute and other textile bast fibres (except flax, true hemp and 	woven fabrics
2659	woven fabrics of other vegetable textile fibres; woven fabrics of paper yarn	woven fabrics
2661	woven fabrics of cotton, containing 85% or more by weight of cotton, weighing no	woven fabrics
2662	woven fabrics of cotton, containing 85% or more by weight of cotton, weighing mo	woven fabrics
2663	woven fabrics of cotton, containing less than 85% by weight of cotton, mixed mai	woven fabrics
2671	woven fabrics of man-made filament yarn, obtained from high tenacity yarn of nyl	woven fabrics
2674	woven fabrics of synthetic staple fibres, containing 85% or more by weight of sy	woven fabrics
2675	woven fabrics of artificial staple fibres, containing 85% or more by weight of a	woven fabrics
2676	woven fabrics of man-made staple fibres, containing less than 85% of such fibres	woven fabrics
2677	woven fabrics of man-made staple fibres, containing less than 85% of such fibres	woven fabrics
2681	woven pile fabrics and chenille fabrics (other than terry towelling and narrow f	woven pile fabrics
2681	woven pile fabrics and chenille fabrics (other than terry towelling and narrow f	chenille fabrics
2682	woven pile fabrics and chenille fabrics (other than terry towelling and narrow f	woven pile fabrics
2682	woven pile fabrics and chenille fabrics (other than terry towelling and narrow f	chenille fabrics
2683	other woven pile fabrics and chenille fabrics (other than terry towelling and na	chenille fabrics
2684	terry towelling and similar woven terry fabrics (other than narrow fabrics) of c	terry towelling
2688	tufted textile fabrics, other than carpets	tufted textile fabrics
2689	woven fabrics (including narrow fabrics) of glass fibres	woven fabrics
2711	blankets and travelling rugs (except electric blankets)	travelling rugs
2712	bed linen, table linen, toilet linen and kitchen linen	toilet linen
2712	bed linen, table linen, toilet linen and kitchen linen	kitchen linen
2713	curtains (including drapes) and interior blinds; curtain or bed valances	interior blinds
2713	curtains (including drapes) and interior blinds; curtain or bed valances	bed valances
2718	quilts, eiderdowns, cushions, pouffes, pillows, sleeping bags and the like, fitt	fitted
2721	carpets and other textile floor coverings, knotted	knotted
2723	carpets and other textile floor coverings, tufted	tufted
2729	other carpets and textile floor coverings (including those of felt)	textile floor coverings
2732	knotted netting of twine, cordage or rope; made up nets of textile materials; ar	knotted netting
2732	knotted netting of twine, cordage or rope; made up nets of textile materials; ar	made up nets
2791	tulles, lace, narrow woven fabrics, trimmings and embroidery	narrow woven fabrics
2792	felt and nonwovens	nonwovens
2811	pile fabrics and terry fabrics, knitted or crocheted	pile fabrics
2811	pile fabrics and terry fabrics, knitted or crocheted	terry fabrics
2819	other knitted or crocheted fabrics	crocheted fabrics
2821	panty hose, tights, stockings, socks and other hosiery, knitted or crocheted	panty hose
2824	apparel and clothing accessories, of leather, composition leather or plastics	clothing accessories
2831	tanned or dressed furskins	dressed furskins
2833	artificial fur and articles thereof (except headgear)	artificial fur
2911	chamois leather; patent leather and patent laminated leather; metallized leather	patent laminated leather
2911	chamois leather; patent leather and patent laminated leather; metallized leather	metallized leather
2913	other leather, without hair on (including sheep, lamb, goat or kid skin leather)	without hair on
2913	other leather, without hair on (including sheep, lamb, goat or kid skin leather)	composition leather
2922	luggage, handbags and the like, of leather, composition leather, plastic sheetin	travel sets
2923	watch straps, except of metal	watch straps
2931	waterproof footwear, with outer soles and uppers of rubber or plastics, other th	waterproof footwear
2941	ski-boots, snowboard boots and cross-country ski footwear	snowboard boots
2941	ski-boots, snowboard boots and cross-country ski footwear	cross-country ski footwear
2942	tennis shoes, basketball shoes, gym shoes, training shoes and the like	basketball shoes
2942	tennis shoes, basketball shoes, gym shoes, training shoes and the like	training shoes
2951	footwear incorporating a protective metal toe-cap, except those covered in subcl	footwear incorporating a protective metal toe-cap
2952	wooden footwear, miscellaneous special footwear and other footwear n.e.c.	wooden footwear
2952	wooden footwear, miscellaneous special footwear and other footwear n.e.c.	miscellaneous special footwear
2960	parts of footwear; removable insoles, heel cushions and similar articles; gaiter	removable insoles
2960	parts of footwear; removable insoles, heel cushions and similar articles; gaiter	heel cushions
3110	wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 m	tramway sleepers
3122	wood wool; wood flour	wood wool
3122	wood wool; wood flour	wood flour
3132	railway or tramway sleepers (cross-ties) of wood, impregnated	tramway sleepers
