# code	title	kind — kinds WordNet has no noun for (or only non-goods senses, marked)
44515	bakery ovens, non-electric; machinery for making hot drinks or for cooking or he	non-electric
44611	machines for extruding, drawing, texturing or cutting man-made textile materials	textile reeling
44611	machines for extruding, drawing, texturing or cutting man-made textile materials	winding machines
44612	weaving machines (looms)	weaving machines
44613	knitting machines, stitch-bonding machines, machines for making gimped yarn, tul	stitch-bonding machines
44622	laundry-type washing machines, each of a dry linen capacity exceeding 10 kg; dry	laundry-type washing machines
44622	laundry-type washing machines, each of a dry linen capacity exceeding 10 kg; dry	dry-cleaning machines
44622	laundry-type washing machines, each of a dry linen capacity exceeding 10 kg; dry	drying machines
44710	tanks and other armoured fighting vehicles, motorized, and parts thereof	motorized
44720	military weapons, other than revolvers, pistols and swords and the like	military weapons
44750	swords, cutlasses, bayonets, lances and similar arms and parts thereof and scabb	sheaths therefor
44812	dishwashing machines and clothes or linen washing or drying machines, household 	linen washing
44812	dishwashing machines and clothes or linen washing or drying machines, household 	drying machines
44814	household sewing machines	household sewing machines
44815	fans and ventilating or recycling hoods of the domestic type	ventilating
44815	fans and ventilating or recycling hoods of the domestic type	recycling hoods
44817	electric instantaneous or storage water heaters and immersion heaters; electric 	electric instantaneous
44817	electric instantaneous or storage water heaters and immersion heaters; electric 	storage water heaters
44817	electric instantaneous or storage water heaters and immersion heaters; electric 	cooking plates
44817	electric instantaneous or storage water heaters and immersion heaters; electric 	boiling rings
44817	electric instantaneous or storage water heaters and immersion heaters; electric 	grillers
44818	electric heating resistors, except of carbon	electric heating resistors
44821	cooking appliances and plate warmers, non-electric, domestic, of iron or steel	cooking appliances
44821	cooking appliances and plate warmers, non-electric, domestic, of iron or steel	plate warmers
44821	cooking appliances and plate warmers, non-electric, domestic, of iron or steel	non-electric
44824	air heaters and hot air distributors, not electrically heated, incorporating a m	air heaters
44824	air heaters and hot air distributors, not electrically heated, incorporating a m	hot air distributors
44825	central heating boilers, for producing hot water or low pressure steam	central heating boilers
44826	water heaters, instantaneous or storage, non-electric	instantaneous
44826	water heaters, instantaneous or storage, non-electric	non-electric
44831	parts of the following appliances: electromechanical domestic appliances, shaver	electric instantaneous
44831	parts of the following appliances: electromechanical domestic appliances, shaver	storage water heaters
44831	parts of the following appliances: electromechanical domestic appliances, shaver	hand dryers
44831	parts of the following appliances: electromechanical domestic appliances, shaver	electric smoothing irons
44911	centrifugal clothes driers	centrifugal clothes driers
44916	moulding boxes for metal foundry; mould bases; moulding patterns; moulds for met	moulding boxes
44916	moulding boxes for metal foundry; mould bases; moulding patterns; moulds for met	mould bases
44916	moulding boxes for metal foundry; mould bases; moulding patterns; moulds for met	moulding patterns
44917	stand-alone photocopiers, printers and facsimile machines	stand-alone photocopiers
45110	typewriters and word-processing machines	word-processing machines
45130	electronic calculators and pocket-size data recording, reproducing and displayin	electronic calculators
45130	electronic calculators and pocket-size data recording, reproducing and displayin	pocket-size data recording
45130	electronic calculators and pocket-size data recording, reproducing and displayin	reproducing
45130	electronic calculators and pocket-size data recording, reproducing and displayin	displaying machines
45141	accounting machines, cash registers, postage-franking machines, ticket-issuing m	accounting machines
45141	accounting machines, cash registers, postage-franking machines, ticket-issuing m	postage-franking machines
45141	accounting machines, cash registers, postage-franking machines, ticket-issuing m	ticket-issuing machines
45141	accounting machines, cash registers, postage-franking machines, ticket-issuing m	incorporating a calculating device
45142	point-of-sale terminals, atms and similar machines	point-of-sale terminals
45170	parts and accessories for the goods of subclasses 45110 and 45130 (except covers	accessories
45180	parts and accessories for the goods of subclasses 45141, 45142 and 45160 (except	accessories
45220	portable automatic data processing machines weighing not more than 10 kg, such a	portable automatic data processing machines
45230	automatic data processing machines, comprising in the same housing at least a ce	automatic data processing machines
45230	automatic data processing machines, comprising in the same housing at least a ce	comprising
45240	automatic data processing machines presented in the form of systems	automatic data processing machines presented
45261	input peripherals (keyboard, joystick, mouse etc.)	input peripherals
45263	inkjet printers used with data processing machines	inkjet printers
45266	units performing two or more of the following functions: printing, scanning, cop	units performing two
45269	other input or output peripheral devices	output peripheral devices
45271	fixed media storage units	fixed media storage units
45272	removable media storage units	removable media storage units
45290	parts and accessories of computing machines	accessories
46111	motors of an output not exceeding 37.5 w; other dc motors; dc generators	dc generators
46112	universal ac/dc motors of an output exceeding 37.5 w; other ac motors; ac genera	universal ac/dc motors
46112	universal ac/dc motors of an output exceeding 37.5 w; other ac motors; ac genera	ac generators
46113	electric generating sets and rotary converters	electric generating sets
46121	electrical transformers	electrical transformers
46122	ballasts for discharge lamps or tubes; static converters; other inductors	static converters
46213	boards, consoles, cabinets and other bases, equipped with electrical switching e	equipped
46214	boards, consoles, cabinets and other bases, equipped with electrical switching e	equipped
46310	insulated winding wire	insulated winding wire
46330	ignition wiring sets and other wiring sets of a kind used in vehicles, aircraft 	ignition wiring sets
46360	optical fibre cables made up of individually sheathed fibres	optical fibre cables
46410	primary cells and primary batteries	primary batteries
46420	electric accumulators	electric accumulators
46510	electric filament or discharge lamps; arc lamps	electric filament
46531	portable electric lamps designed to function by their own source of energy (exce	portable electric lamps designed
46531	portable electric lamps designed to function by their own source of energy (exce	electric ceiling
46531	portable electric lamps designed to function by their own source of energy (exce	wall lighting fittings
46531	portable electric lamps designed to function by their own source of energy (exce	electric table
46531	portable electric lamps designed to function by their own source of energy (exce	floor-standing lamps
46531	portable electric lamps designed to function by their own source of energy (exce	non-electrical lamps
46531	portable electric lamps designed to function by their own source of energy (exce	lighting fittings
46531	portable electric lamps designed to function by their own source of energy (exce	illuminated signs
46531	portable electric lamps designed to function by their own source of energy (exce	illuminated name-plates
46532	lighting sets of a kind used for christmas trees	lighting sets
46539	other electric lamps and lighting fittings (including lamps and lighting fitting	lighting fittings
46910	electrical ignition or starting equipment of a kind used for internal combustion	electrical ignition
46910	electrical ignition or starting equipment of a kind used for internal combustion	cut-outs
46910	electrical ignition or starting equipment of a kind used for internal combustion	electrical lighting
46931	permanent metallic magnets	permanent metallic magnets
46932	permanent ceramic or ferrite magnets	permanent ceramic
46932	permanent ceramic or ferrite magnets	ferrite magnets
46940	electrical insulators, except of glass or ceramics; insulating fittings for elec	electrical insulators
46940	electrical insulators, except of glass or ceramics; insulating fittings for elec	insulating fittings
46940	electrical insulators, except of glass or ceramics; insulating fittings for elec	electrical conduit tubing
46940	electrical insulators, except of glass or ceramics; insulating fittings for elec	joints therefor
46950	carbon electrodes, carbon brushes, lamp carbons, battery carbons and other artic	carbon electrodes
46950	carbon electrodes, carbon brushes, lamp carbons, battery carbons and other artic	carbon brushes
46950	carbon electrodes, carbon brushes, lamp carbons, battery carbons and other artic	lamp carbons
46950	carbon electrodes, carbon brushes, lamp carbons, battery carbons and other artic	battery carbons
46960	parts for the goods of subclasses 46910, 46921 and 46929; electrical parts n.e.c	electrical parts
47110	electrical capacitors	electrical capacitors
47120	electrical resistors (except heating resistors)	electrical resistors
47140	thermionic, cold cathode or photo-cathode valves and tubes (including cathode ra	thermionic
47150	diodes, transistors and similar semi-conductor devices; photosensitive semi-cond	photosensitive semi-conductor devices
47150	diodes, transistors and similar semi-conductor devices; photosensitive semi-cond	light emitting diodes
47150	diodes, transistors and similar semi-conductor devices; photosensitive semi-cond	mounted piezo-electric crystals
47160	electronic integrated circuits	electronic integrated circuits
47214	video camera recorders	video camera recorders
47221	line telephone sets with cordless handsets	line telephone sets
47311	radio broadcast receivers (except of a kind used in motor vehicles), whether or 	radio broadcast receivers
47312	radio broadcast receivers not capable of operating without an external source of	radio broadcast receivers
47330	microphones and stands therefor; loudspeakers; headphones, earphones and combine	stands therefor
47330	microphones and stands therefor; loudspeakers; headphones, earphones and combine	combined microphone/speaker sets
47330	microphones and stands therefor; loudspeakers; headphones, earphones and combine	audio-frequency electric amplifiers
47330	microphones and stands therefor; loudspeakers; headphones, earphones and combine	electric sound amplifier sets
47540	optical media, not recorded	optical media
47550	solid-state non-volatile storage devices	solid-state non-volatile storage devices
47610	musical audio disks, tapes or other physical media	musical audio disks
47691	audio books on disk, tape or other physical media	audio books
47692	text-based disks, tapes or other physical media	text-based disks
47812	network software, packaged	network software
47813	database management software, packaged	database management software
47814	development tools and programming languages software, packaged	development tools
47814	development tools and programming languages software, packaged	programming languages software
47821	general business productivity and home use applications, packaged	general business productivity
47821	general business productivity and home use applications, packaged	home use applications
47822	computer game software, packaged	computer game software
48110	apparatus based on the use of x-rays or of alpha, beta or gamma radiations	apparatus based
48122	ultra-violet or infra-red ray apparatus, used in medical, surgical, dental or ve	ultra-violet
48140	medical, surgical or laboratory sterilizers	surgical
48140	medical, surgical or laboratory sterilizers	laboratory sterilizers
48160	mechano-therapy appliances; massage apparatus; psychological aptitude-testing ap	mechano-therapy appliances
48160	mechano-therapy appliances; massage apparatus; psychological aptitude-testing ap	ozone therapy
48160	mechano-therapy appliances; massage apparatus; psychological aptitude-testing ap	oxygen therapy
48160	mechano-therapy appliances; massage apparatus; psychological aptitude-testing ap	aerosol therapy
48160	mechano-therapy appliances; massage apparatus; psychological aptitude-testing ap	gas masks
48171	orthopaedic appliances; splints and other fracture appliances; artificial parts 	orthopaedic appliances
48171	orthopaedic appliances; splints and other fracture appliances; artificial parts 	artificial parts
48172	hearing aids and other appliances which are worn or carried, or implanted in the	carried
48180	medical, surgical, dental or veterinary furniture; barbers' chairs and similar c	surgical
48180	medical, surgical, dental or veterinary furniture; barbers' chairs and similar c	veterinary furniture
48180	medical, surgical, dental or veterinary furniture; barbers' chairs and similar c	barbers' chairs
48211	direction finding compasses; other navigational instruments and appliances	direction finding compasses
48219	other surveying, hydrographic, oceanographic, hydrological, meteorological or ge	hydrographic
48219	other surveying, hydrographic, oceanographic, hydrological, meteorological or ge	oceanographic
48219	other surveying, hydrographic, oceanographic, hydrological, meteorological or ge	hydrological
48219	other surveying, hydrographic, oceanographic, hydrological, meteorological or ge	meteorological
48219	other surveying, hydrographic, oceanographic, hydrological, meteorological or ge	geophysical instruments
48242	cathode-ray oscilloscopes and cathode-ray oscillographs	cathode-ray oscillographs
48264	revolution counters, production counters, taximeters, mileometers, pedometers an	revolution counters
48264	revolution counters, production counters, taximeters, mileometers, pedometers an	production counters
48266	automatic regulating or controlling instruments and apparatus, hydraulic or pneu	automatic regulating
48266	automatic regulating or controlling instruments and apparatus, hydraulic or pneu	controlling instruments
48266	automatic regulating or controlling instruments and apparatus, hydraulic or pneu	hydraulic
48266	automatic regulating or controlling instruments and apparatus, hydraulic or pneu	pneumatic
48269	measuring, checking, regulating or controlling instruments, appliances and machi	checking
48269	measuring, checking, regulating or controlling instruments, appliances and machi	controlling instruments
48281	parts and accessories for the goods of subclasses 48211, 48212, 48232 and 48233,	accessories
48282	parts and accessories for the goods of subclass 48261	accessories
48283	parts and accessories for the goods of subclasses 48263 and 48264	accessories
48284	parts and accessories for the goods of subclasses 48266 and 48269	accessories
48285	parts and accessories for the goods of subclass 48262	accessories
48311	optical fibres and optical fibre bundles; optical fibre cables (except those mad	optical fibre bundles
48311	optical fibres and optical fibre bundles; optical fibre cables (except those mad	optical fibre cables
48312	spectacles, goggles and the like, corrective, protective or other	protective
48314	binoculars, monoculars and other optical telescopes; other astronomical instrume	monoculars
48314	binoculars, monoculars and other optical telescopes; other astronomical instrume	compound optical microscopes
48315	liquid crystal devices n.e.c.; lasers, except laser diodes; other optical applia	liquid crystal devices
48323	cinematographic projectors	cinematographic projectors
48341	photographic plates and film and instant print film, sensitized, unexposed	instant print film
48341	photographic plates and film and instant print film, sensitized, unexposed	sensitized
48342	chemical preparations for photographic uses, except varnishes, adhesives and the	chemical preparations
48342	chemical preparations for photographic uses, except varnishes, adhesives and the	unmixed products
48351	parts and accessories for the goods of subclass 48314	accessories
48353	parts and accessories for the goods of subclass 48322; parts and accessories of 	accessories
48354	parts and accessories for the goods of subclass 48315	accessories
48440	watch or clock movements	clock movements
48490	other watch or clock parts (including jewels, cases and metal watch bands)	clock parts
49111	road tractors for semi-trailers	road tractors
49112	public-transport type passenger motor vehicles	public-transport type passenger motor vehicles
49113	motor cars and other motor vehicles principally designed for the transport of pe	motor cars
49115	crane lorries	crane lorries
49116	motor vehicles, for the transport of persons, specially designed for travelling 	golf cars
49119	special-purpose motor vehicles n.e.c.	special-purpose motor vehicles
49121	chassis fitted with engines, for motor vehicles	chassis fitted
49129	other parts and accessories n.e.c. of motor vehicles (including brakes, gear box	accessories
49221	containers specially designed and equipped for carriage by one or more modes of 	containers specially designed
49221	containers specially designed and equipped for carriage by one or more modes of 	equipped
49222	trailers and semi-trailers of the caravan type, for housing or camping	semi-trailers
49229	other trailers and semi-trailers (including trailers and semi-trailers for the t	semi-trailers
49231	parts and accessories for the goods of subclass 49210	accessories
49311	cruise ships, excursion boats and similar vessels, principally designed for the 	excursion boats
49311	cruise ships, excursion boats and similar vessels, principally designed for the 	ferry boats
49313	refrigerator vessels (ships), except tankers	refrigerator vessels
49316	tugs and pusher craft	pusher craft
49320	floating or submersible drilling or production platforms	submersible drilling
49320	floating or submersible drilling or production platforms	production platforms
49511	rail locomotives powered from an external source of electricity	rail locomotives powered
49519	other rail locomotives; locomotive tenders	locomotive tenders
49520	self-propelled railway or tramway coaches, vans and trucks (except maintenance o	self-propelled railway
49520	self-propelled railway or tramway coaches, vans and trucks (except maintenance o	tramway coaches
49531	railway or tramway maintenance or service vehicles, whether or not self-propelle	tramway maintenance
49531	railway or tramway maintenance or service vehicles, whether or not self-propelle	service vehicles
49532	railway or tramway passenger coaches, not self-propelled; luggage vans, post off	tramway passenger coaches
49532	railway or tramway passenger coaches, not self-propelled; luggage vans, post off	post office coaches
49532	railway or tramway passenger coaches, not self-propelled; luggage vans, post off	tramway coaches
49533	railway or tramway goods vans and wagons, not self-propelled	tramway goods vans
49540	parts of railway or tramway locomotives or rolling stock; railway or tramway tra	tramway track fixtures
49540	parts of railway or tramway locomotives or rolling stock; railway or tramway tra	mechanical signalling
49630	spacecraft and spacecraft launch vehicles	spacecraft launch vehicles
49911	motorcycles and cycles fitted with an auxiliary motor, with reciprocating intern	cycles fitted
49912	motorcycles and cycles fitted with an auxiliary motor, with reciprocating intern	cycles fitted
49913	motorcycles and cycles fitted with an auxiliary motor, other than those with rec	cycles fitted
49913	motorcycles and cycles fitted with an auxiliary motor, other than those with rec	side-cars
49922	invalid carriages	invalid carriages
49941	parts and accessories of motorcycles and side-cars	accessories
49942	parts and accessories of bicycles and other cycles, not motorized, and of invali	accessories
53111	one- and two-dwelling residential buildings	two-dwelling residential buildings
53112	multi-dwelling residential buildings	multi-dwelling residential buildings
53121	industrial buildings	industrial buildings
53122	commercial buildings	commercial buildings
53213	airfield runways	airfield runways
53221	bridges and elevated highways	elevated highways
53232	harbours, waterways and related facilities	related facilities
53234	irrigation and flood control waterworks	flood control waterworks
53241	long-distance pipelines	long-distance pipelines
53242	long-distance communication and power lines (cables)	long-distance communication
53251	local pipelines	local pipelines
53252	local cables and related works	local cables
53252	local cables and related works	related works
53253	sewage and water treatment plants	water treatment plants
53261	mining constructions	mining constructions
0	agriculture, forestry and fishery products	agriculture	[non-goods senses: the practice of cultivating the land or ; a large-scale farming enterprise; the class of people engaged in growing f]
0	agriculture, forestry and fishery products	forestry	[non-goods senses: the science of planting and caring for f]
03	forestry and logging products	forestry	[non-goods senses: the science of planting and caring for f]
17	electricity, town gas, steam and hot water	hot water	[non-goods senses: a dangerous or distressing predicament]
45	office, accounting and computing machinery	accounting	[non-goods senses: the occupation of maintaining and auditi; a system that provides quantitative info; a convincing explanation that reveals ba]
48	medical appliances, precision and optical instruments, watches and clocks	precision	[non-goods senses: the quality of being reproducible in amo]
173	steam and hot water	hot water	[non-goods senses: a dangerous or distressing predicament]
316	builders' joinery and carpentry of wood (including cellular wood panels, assembl	carpentry	[non-goods senses: the craft of a carpenter: making things ]
325	printed maps; music, printed or in manuscript; postcards, greeting cards, pictur	music	[non-goods senses: musical activity (singing or whistling e; punishment for one's actions; any agreeable (pleasing and harmonious) ]
325	printed maps; music, printed or in manuscript; postcards, greeting cards, pictur	postcards	[non-goods senses: a card for sending messages by post with]
325	printed maps; music, printed or in manuscript; postcards, greeting cards, pictur	greeting cards	[non-goods senses: a card sent to express personal greeting]
326	stamps, cheque forms, banknotes, stock certificates, brochures and leaflets, adv	banknotes	[non-goods senses: a piece of paper money (especially one i]
327	registers, account books, notebooks, letter pads, diaries and similar articles, 	account books	[non-goods senses: a record in which commercial accounts ar]
336	radioactive elements and isotopes and compounds; alloys, dispersions, ceramic pr	dispersions	[non-goods senses: the act of dispersing or diffusing somet; the spatial or geographic property of be; spreading widely or driving off]
343	tanning or dyeing extracts; tannins and their derivatives; colouring matter n.e.	tanning	[non-goods senses: making leather from rawhide; beating with a whip or strap or rope as ; process in which skin pigmentation darke]
473	radio broadcast and television receivers; apparatus for sound and video recordin	radio broadcast	[non-goods senses: a broadcast via radio]
481	medical and surgical equipment and orthopaedic appliances	medical	[non-goods senses: a thorough physical examination]
494	pleasure and sporting boats	pleasure	[non-goods senses: sexual gratification; an activity that affords enjoyment; a formal expression]
0422	salmonidae, live, fresh or chilled	salmonidae	[non-goods senses: salmon and trout]
1532	pebbles, gravel, broken or crushed stone, macadam; granules, chippings and powde	chippings	[non-goods senses: the act of chipping something]
1730	steam and hot water	hot water	[non-goods senses: a dangerous or distressing predicament]
2122	fish fillets and meat; fish livers and roes	fish fillets	[non-goods senses: a longitudinal slice or boned side of a ]
2313	groats, meal and pellets of wheat and other cereals	groats	[non-goods senses: a former English silver coin worth four ]
2615	wool and fine or coarse animal hair, carded or combed	fine	[non-goods senses: money extracted as a penalty]
2617	jute and other textile bast fibres (except flax, true hemp and ramie), processed	tow	[non-goods senses: the act of hauling something (as a vehic]
2619	other vegetable textile fibres, processed but not spun; tow and waste of these f	tow	[non-goods senses: the act of hauling something (as a vehic]
3160	builders' joinery and carpentry of wood (including cellular wood panels, assembl	carpentry	[non-goods senses: the craft of a carpenter: making things ]
3242	business, professional or academic newspapers and periodicals, other than daily,	business	[non-goods senses: incidental activity performed by an acto; the principal activity in your life that; the activity of providing goods and serv]
3242	business, professional or academic newspapers and periodicals, other than daily,	professional	[non-goods senses: an authority qualified to teach apprenti; a person engaged in one of the learned p; an athlete who plays for pay]
3252	music, printed or in manuscript	music	[non-goods senses: musical activity (singing or whistling e; punishment for one's actions; any agreeable (pleasing and harmonious) ]
3253	printed or illustrated postcards; printed cards bearing personal greetings or me	messages	[non-goods senses: a communication (usually brief) that is ; what a communication that is about somet]
3261	unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; 	revenue	[non-goods senses: the entire amount of income before any d; government income due to taxation]
3261	unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; 	banknotes	[non-goods senses: a piece of paper money (especially one i]
3270	registers, account books, notebooks, letter pads, diaries and similar articles, 	account books	[non-goods senses: a record in which commercial accounts ar]
3361	natural uranium and its compounds; alloys, dispersions, ceramic products and mix	dispersions	[non-goods senses: the act of dispersing or diffusing somet; the spatial or geographic property of be; spreading widely or driving off]
3362	uranium enriched in u235 and its compounds; plutonium and its compounds; alloys,	dispersions	[non-goods senses: the act of dispersing or diffusing somet; the spatial or geographic property of be; spreading widely or driving off]
3363	uranium depleted in u235 and its compounds; thorium and its compounds; alloys, d	dispersions	[non-goods senses: the act of dispersing or diffusing somet; the spatial or geographic property of be; spreading widely or driving off]
3369	other radioactive elements and isotopes and compounds; alloys, dispersions, cera	dispersions	[non-goods senses: the act of dispersing or diffusing somet; the spatial or geographic property of be; spreading widely or driving off]
3423	chemical elements n.e.c.; inorganic acids; inorganic oxygen compounds of boron, 	halogen	[non-goods senses: any of five related nonmetallic elements]
3533	cleaning and polishing preparations	cleaning	[non-goods senses: the act of making something clean]
3543	lubricating preparations and preparations of a kind used for the oil or grease t	prepared additives	[non-goods senses: something added to enhance food or gasol]
3545	prepared explosives; safety fuses; detonating fuses; percussion or detonating ca	percussion	[non-goods senses: the act of exploding a percussion cap; the act of playing a percussion instrume; tapping a part of the body for diagnosti]
3624	conveyor or transmission belts or belting, of vulcanized rubber	conveyor	[non-goods senses: a moving belt that transports objects (a; a person who conveys (carries or transmi]
3736	non-refractory ceramic pipes, conduits, guttering and pipe fittings	pipe fittings	[non-goods senses: fitting consisting of threaded pieces of]
3761	marble, travertine and alabaster, worked, and articles thereof (except setts, cu	chippings	[non-goods senses: the act of chipping something]
3769	other worked monumental or building stone and articles thereof; other artificial	chippings	[non-goods senses: the act of chipping something]
3825	coin	coin	[non-goods senses: a flat metal piece (usually a disc) used]
3854	toy electric trains and tracks, signals and other accessories therefor; reduced-	signals	[non-goods senses: any nonverbal action or gesture that enc; any incitement to action; an electric quantity (voltage or current]
3858	video games of a kind used with a television receiver	video games	[non-goods senses: a game played against a computer]
3896	paintings, drawings and pastels; original engravings, prints and lithographs; or	pastels	[non-goods senses: any of various pale or light colors]
3896	paintings, drawings and pastels; original engravings, prints and lithographs; or	statuary	[non-goods senses: statues collectively]
3896	paintings, drawings and pastels; original engravings, prints and lithographs; or	postage	[non-goods senses: a small adhesive token stuck on a letter; the charge for mailing something]
3916	brewing or distilling dregs and waste	brewing	[non-goods senses: the production of malt beverages (as bee]
3925	waste, parings and scrap of rubber (except hard rubber) and powders and granules	parings	[non-goods senses: (usually plural) a part of a fruit or ve; a thin fragment or slice (especially of ]
3927	waste, parings and scrap of plastics	parings	[non-goods senses: (usually plural) a part of a fruit or ve; a thin fragment or slice (especially of ]
3931	slag, dross, scalings and other waste from the manufacture of iron or steel	slag	[non-goods senses: the scum formed by oxidation at the surf]
3931	slag, dross, scalings and other waste from the manufacture of iron or steel	scalings	[non-goods senses: ascent by or as if by a ladder; act of measuring or arranging or adjusti; the act of arranging in a graduated seri]
4125	angles, shapes and sections, not further worked than hot-rolled, hot-drawn or ex	angles	[non-goods senses: a biased way of looking at or presenting; a member of a Germanic people who conque; the space between two lines or planes th]
4126	bars, rods, angles, shapes and sections, cold-processed or further worked, of ir	angles	[non-goods senses: a biased way of looking at or presenting; a member of a Germanic people who conque; the space between two lines or planes th]
4129	tubes, pipes and hollow profiles of cast-iron and cast-steel and related fitting	pipe fittings	[non-goods senses: fitting consisting of threaded pieces of]
4219	other structures (except prefabricated buildings) and parts of structures, of ir	angles	[non-goods senses: a biased way of looking at or presenting; a member of a Germanic people who conque; the space between two lines or planes th]
4292	hand tools (including hand tools of a kind used in agriculture, horticulture or 	tips	[non-goods senses: an indication of potential opportunity; the top or extreme point of something (u; the extreme end of something]
4355	pneumatic and other continuous action elevators and conveyors, for goods or mate	conveyors	[non-goods senses: a moving belt that transports objects (a; a person who conveys (carries or transmi]
4356	other lifting, handling, loading or unloading machinery	handling	[non-goods senses: the action of touching with the hands (o; manual (or mechanical) carrying or movin; the management of someone or something]
4441	continuous-action elevators and conveyors, for goods or materials, specially des	conveyors	[non-goods senses: a moving belt that transports objects (a; a person who conveys (carries or transmi]
4442	other moving, grading, levelling, scraping, excavating, tamping, compacting or e	grading	[non-goods senses: evaluation of performance by assigning a; changing the ground level to a smooth ho; the act of arranging in a graduated seri]
4442	other moving, grading, levelling, scraping, excavating, tamping, compacting or e	scraping	[non-goods senses: a deep bow with the foot drawn backwards; a harsh noise made by scraping; (usually plural) a fragment scraped off ]
4443	pile-drivers and pile-extractors; snow-ploughs and snow-blowers; other moving, g	grading	[non-goods senses: evaluation of performance by assigning a; changing the ground level to a smooth ho; the act of arranging in a graduated seri]
4443	pile-drivers and pile-extractors; snow-ploughs and snow-blowers; other moving, g	scraping	[non-goods senses: a deep bow with the foot drawn backwards; a harsh noise made by scraping; (usually plural) a fragment scraped off ]
4526	input or output units, whether or not containing storage units in the same housi	input	[non-goods senses: a component of production; any stimulating information or event; a statement that expresses a personal op]
4731	radio broadcast and television receivers	radio broadcast	[non-goods senses: a broadcast via radio]
4792	"smart cards"	smart cards	[non-goods senses: a plastic card containing a microprocess]
4814	medical, surgical or laboratory sterilizers	medical	[non-goods senses: a thorough physical examination]
4818	medical, surgical, dental or veterinary furniture; barbers' chairs and similar c	medical	[non-goods senses: a thorough physical examination]
4818	medical, surgical, dental or veterinary furniture; barbers' chairs and similar c	dental	[non-goods senses: a consonant articulated with the tip of ]
4843	time of day recording apparatus, apparatus for measuring, recording or otherwise	time	[non-goods senses: the continuum of experience in which eve; rhythm as given by division into parts o; a person's experience on a particular oc]
4932	floating or submersible drilling or production platforms	floating	[non-goods senses: the act of someone who floats on the wat]
5323	harbours, waterways, dams, irrigation and other waterworks	irrigation	[non-goods senses: (medicine) cleaning a wound or body orga; supplying dry land with water by means o]
5324	long-distance pipelines, communication and power lines (cables)	communication	[non-goods senses: something that is communicated by or to ; the activity of communicating; a connection allowing access between per]
5327	outdoor sport and recreation facilities	outdoor sport	[non-goods senses: a sport that is played outdoors]
01132	rice paddy, other (not husked)	rice paddy	[non-goods senses: an irrigated or flooded field where rice]
04221	wild salmonidae, live, fresh or chilled	wild salmonidae	[non-goods senses: salmon and trout]
04222	farmed salmonidae, live, fresh or chilled	farmed salmonidae	[non-goods senses: salmon and trout]
15320	pebbles, gravel, broken or crushed stone, macadam; granules, chippings and powde	chippings	[non-goods senses: the act of chipping something]
17300	steam and hot water	hot water	[non-goods senses: a dangerous or distressing predicament]
21212	salmonidae, frozen	salmonidae	[non-goods senses: salmon and trout]
21221	fish fillets and fish meat (whether or not minced), fresh or chilled	fish fillets	[non-goods senses: a longitudinal slice or boned side of a ]
21222	fish fillets, frozen	fish fillets	[non-goods senses: a longitudinal slice or boned side of a ]
21224	fish fillets, dried, salted or in brine, but not smoked	fish fillets	[non-goods senses: a longitudinal slice or boned side of a ]
21234	edible fish offal ; fish fins, heads, tails, maws and other edible fish offal	maws	[non-goods senses: informal terms for the mouth]
23130	groats, meal and pellets of wheat and other cereals	groats	[non-goods senses: a former English silver coin worth four ]
23996	yeasts (active or inactive); other single-cell micro-organisms, dead; prepared b	dead	[non-goods senses: people who are no longer living; a time when coldness (or some other qual]
26150	wool and fine or coarse animal hair, carded or combed	fine	[non-goods senses: money extracted as a penalty]
26170	jute and other textile bast fibres (except flax, true hemp and ramie), processed	tow	[non-goods senses: the act of hauling something (as a vehic]
26190	other vegetable textile fibres, processed but not spun; tow and waste of these f	tow	[non-goods senses: the act of hauling something (as a vehic]
27911	narrow woven fabrics; narrow fabrics of warp without weft assembled by adhesive 	badges	[non-goods senses: any feature that is regarded as a sign o; an emblem (a small piece of plastic or c]
31600	builders' joinery and carpentry of wood (including cellular wood panels, assembl	carpentry	[non-goods senses: the craft of a carpenter: making things ]
31911	tools, tool bodies, tool handles, broom or brush bodies and handles, boot or sho	handles	[non-goods senses: the appendage to an object that is desig]
32291	professional, technical and scholarly books, in print	professional	[non-goods senses: an authority qualified to teach apprenti; a person engaged in one of the learned p; an athlete who plays for pay]
32420	business, professional or academic newspapers and periodicals, other than daily,	business	[non-goods senses: incidental activity performed by an acto; the principal activity in your life that; the activity of providing goods and serv]
32420	business, professional or academic newspapers and periodicals, other than daily,	professional	[non-goods senses: an authority qualified to teach apprenti; a person engaged in one of the learned p; an athlete who plays for pay]
32520	music, printed or in manuscript	music	[non-goods senses: musical activity (singing or whistling e; punishment for one's actions; any agreeable (pleasing and harmonious) ]
32530	printed or illustrated postcards; printed cards bearing personal greetings or me	messages	[non-goods senses: a communication (usually brief) that is ; what a communication that is about somet]
32610	unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; 	revenue	[non-goods senses: the entire amount of income before any d; government income due to taxation]
32610	unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; 	banknotes	[non-goods senses: a piece of paper money (especially one i]
32700	registers, account books, notebooks, letter pads, diaries and similar articles, 	account books	[non-goods senses: a record in which commercial accounts ar]
