kind	sub	sup	detail
single	baby-doctor	organism	only wordnet
single	baby-doctor	person	only wordnet
single	baby-doctor	physical-object	only wordnet
single	baby-doctor	professional	only wordnet
single	baby-doctor	property	only sumo
single	bacitracin	agent	only wordnet
single	bacitracin	drug	only wordnet
single	bacitracin	medication	only wordnet
single	bacitracin	substance	only wordnet
single	bacteriology	cognition	only wordnet
single	bacteriology	medicine	only wordnet
single	bacteriology	natural-science	only wordnet
single	bacteriology	science	only wordnet
single	ballistocardiograph	physical-object	only wordnet
single	bee-sting	action	only opencyc
single	bee-sting	attribute	only wordnet
single	bee-sting	condition	only wordnet
single	bee-sting	situation	only opencyc
single	bee-sting	state	only wordnet
single	behavior-therapy	accomplishment	only sumo
single	behavior-therapy	procedure	only sumo
single	behavior-therapy	tending	only wordnet
single	behavior-therapy	volition	only sumo
single	behavior-therapy	work	only wordnet
single	benefit	quack	only sumo
single	biomedical-science	cognition	only wordnet
single	biomedical-science	medicine	only wordnet
single	biomedical-science	natural-science	only wordnet
single	biomedical-science	science	only wordnet
single	biomedicine	cognition	only wordnet
single	biomedicine	natural-science	only wordnet
single	biomedicine	science	only wordnet
single	birth-trauma	attribute	only wordnet
single	birth-trauma	condition	only wordnet
single	birth-trauma	event	only sumo
single	birth-trauma	state	only wordnet
single	bite-wound	attribute	only wordnet
single	bite-wound	condition	only wordnet
single	bite-wound	event	only sumo
single	bite-wound	state	only wordnet
single	bite-wound	structure	only opencyc
single	black-eye	attribute	only wordnet
single	black-eye	condition	only wordnet
single	black-eye	event	only sumo
single	black-eye	state	only wordnet
single	blackwater-fever	condition	only wordnet
single	blackwater-fever	illness	only wordnet
single	blackwater-fever	property	only sumo
single	blackwater-fever	state	only wordnet
single	blackwater-fever	symptomatic-effect	only sumo
single	blain	condition	only wordnet
single	blain	property	only sumo
single	blain	state	only wordnet
single	blain	symptomatic-effect	only sumo
single	blast-trauma	attribute	only wordnet
single	blast-trauma	condition	only wordnet
single	blast-trauma	event	only sumo
single	blast-trauma	state	only wordnet
single	bleeding	attribute	only wordnet
single	bleeding	condition	only wordnet
single	bleeding	event	only sumo
single	bleeding	state	only wordnet
single	blister	physical-object	only sumo
single	blister	structure	only opencyc
single	blocker-drug	agent	only wordnet
single	blocker-drug	drug	only wordnet
single	blocker-drug	material	only sumo
single	blood-extravasation	attribute	only wordnet
single	blood-extravasation	condition	only wordnet
single	blood-extravasation	event	only sumo
single	blood-extravasation	injury	only wordnet
single	blood-extravasation	state	only wordnet
single	blood-poisoning	condition	only wordnet
single	blood-poisoning	event	only opencyc
single	blood-poisoning	illness	only opencyc
single	blood-poisoning	property	only sumo
single	blood-poisoning	situation	only opencyc
single	blood-poisoning	state	only wordnet
single	blood-poisoning	symptomatic-effect	only sumo
single	bloodletting	act	only wordnet
single	bloodletting	activity	only wordnet
single	bloodletting	visit	only sumo
single	bloodletting	work	only wordnet
single	blunt-trauma	attribute	only wordnet
single	blunt-trauma	condition	only wordnet
single	blunt-trauma	event	only sumo
single	blunt-trauma	state	only wordnet
single	bonesetter	adult	only wordnet
single	bonesetter	agent	only wordnet
single	bonesetter	attribute	only sumo
single	bonesetter	organism	only wordnet
single	bonesetter	person	only wordnet
single	bonesetter	physical-object	only wordnet
single	bonesetter	property	only sumo
single	boom	quack	only sumo
single	borderline-schizophrenia	condition	only wordnet
single	borderline-schizophrenia	inclination	only sumo
single	borderline-schizophrenia	mentality	only sumo
single	borderline-schizophrenia	property	only sumo
single	borderline-schizophrenia	state	only wordnet
single	borderline-schizophrenia	symptomatic-effect	only sumo
single	borderline-schizophrenia	trait	only sumo
single	brain-damage	condition	only wordnet
single	brain-damage	inclination	only sumo
single	brain-damage	mentality	only sumo
single	brain-damage	property	only sumo
single	brain-damage	state	only wordnet
single	brain-damage	symptomatic-effect	only sumo
single	brain-damage	trait	only sumo
single	brain-surgery	accomplishment	only sumo
single	brain-surgery	therapy	only sumo
single	brain-surgery	volition	only sumo
single	breast-cancer	cancer	only wordnet
single	breast-cancer	condition	only wordnet
single	breast-cancer	disease	only wordnet
single	breast-cancer	illness	only wordnet
single	breast-cancer	malignancy	only wordnet
single	breast-cancer	property	only sumo
single	breast-cancer	state	only wordnet
single	breast-cancer	symptomatic-effect	only sumo
single	breast-cancer	tissue-growth	only wordnet
single	breast-cancer	tumor	only wordnet
single	bronchodilator	agent	only wordnet
single	bronchodilator	material	only sumo
single	bronchodilator	medicine	only opencyc
single	bronchoscope	physical-object	only wordnet
single	bruise	attribute	only wordnet
single	bruise	condition	only wordnet
single	bruise	event	only sumo
single	bruise	state	only wordnet
single	bruise	structure	only opencyc
