# name	source	id
generative-ai-chatbot	wikidata	Q133284163
text-to-video-model	wikidata	Q115517227
large-action-model	wikidata	Q125753113
distilled-ai-model	wikidata	Q135439401
weighted-constraint-satisfaction-problem	wikidata	Q7979896
causal-diagram	wikidata	Q98279829
dynamic-bayesian-network	wikidata	Q3456604
transductive-learning	wikidata	Q7833965
winner-take-all-network	wikidata	Q769931
inductive-programming	wikidata	Q15712089
multiple-instance-learning	wikidata	Q6934870
weakly-supervised-learning	wikidata	Q65044138
stochastic-neural-network	wikidata	Q7617824
modular-neural-network	wikidata	Q3504403
elman-network	wikidata	Q108899755
recursive-neural-network	wikidata	Q18393747
bidirectional-recurrent-neural-network	wikidata	Q25112138
capsule-neural-network	wikidata	Q55080127
region-based-convolutional-neural-network	wikidata	Q96401454
compositional-pattern-producing-network	wikidata	Q5156806
pulse-coupled-network	wikidata	Q7259628
quantum-neural-network	wikidata	Q1981341
quantum-machine-learning	wikidata	Q18811578
geometric-feature-learning	wikidata	Q5535480
explanation-based-learning	wikidata	Q133580
statistical-relational-learning	wikidata	Q7604413
rule-based-machine-learning	wikidata	Q28324910
artificial-immune-system	wikidata	Q2518735
preference-learning	wikidata	Q7239820
model-evaluation-method	wikidata	Q124039678
chatbot-evaluation	wikidata	Q9256942
computational-humor	wikidata	Q5157318
image-to-image-translation	wikidata	Q45318647
pedestrian-detection	wikidata	Q2355550
