kind	sub	sup	detail
single	instance-segmentation	computer-vision	only wikidata
single	institution	intelligent-agent	only opencyc
single	instruction-tuned-model	language-model	only wikidata
single	instruction-tuned-model	statistical-model	only wikidata
single	insurgent	embodied-agent	only opencyc
single	insurgent	intelligent-agent	only opencyc
single	intellect	embodied-agent	only opencyc
single	intellect	intelligent-agent	only opencyc
single	interactive-machine-learning	artificial-intelligence	only wikidata
single	internet-bot	information	only yago
single	invertebrate	embodied-agent	only opencyc
single	isomap	algorithm	only wikidata
single	isomap	artificial-intelligence	only wikidata
single	isomap	dimensionality-reduction	only wikidata
single	isomap	machine-learning	only wikidata
single	jockey	embodied-agent	only opencyc
single	jockey	intelligent-agent	only opencyc
single	judge	embodied-agent	only opencyc
single	judge	intelligent-agent	only opencyc
single	jury	intelligent-agent	only opencyc
single	kernel-method	algorithm	only wikidata
single	knowledge-distillation	artificial-intelligence	only wikidata
single	knowledge-graph	dataset	only wikidata
single	knowledge-management	action	only opencyc
single	knowledge-management	event	only opencyc
single	knowledge-management	situation	only opencyc
single	lamb	embodied-agent	only opencyc
single	landlord	embodied-agent	only opencyc
single	landlord	intelligent-agent	only opencyc
single	large-action-model	artificial-neural-network	only wikidata
single	large-action-model	language-model	only wikidata
single	large-action-model	software	only wikidata
single	large-action-model	statistical-model	only wikidata
single	large-language-model	statistical-model	only wikidata
single	latent-dirichlet-allocation	statistical-model	only wikidata
single	lawyer	embodied-agent	only opencyc
single	lawyer	intelligent-agent	only opencyc
single	learner	embodied-agent	only opencyc
single	learner	intelligent-agent	only opencyc
single	linked-data	dataset	only wikidata
single	linked-data	software	only wikidata
single	linked-data	web-site	only wikidata
single	linked-open-data	software	only wikidata
single	linked-open-data	web-site	only wikidata
single	lion	embodied-agent	only opencyc
single	livestock	embodied-agent	only opencyc
single	logic-programming	skill	only wikidata
single	long-short-term-memory	artificial-neural-network	only wikidata
single	machine-ethics	philosophy-of-artificial-intelligence	only wikidata
single	machine-learning	action	only opencyc
single	machine-learning	event	only opencyc
single	machine-learning	situation	only opencyc
single	machine-reading-comprehension	artificial-intelligence	only wikidata
single	machine-reading-comprehension	computational-linguistics	only wikidata
single	machine-translation	cognition	only wordnet
single	machine-translation	engineering	only wordnet
single	machine-translation	science	only wordnet
single	machinery	intelligent-agent	only opencyc
single	maestro	embodied-agent	only opencyc
single	maestro	intelligent-agent	only opencyc
single	maid	embodied-agent	only opencyc
single	maid	intelligent-agent	only opencyc
