name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	opencyc	bfo	dolce	dul	gloss	origin
small-change	13387479	CurrencyMeasure	+								money received in return for its equivalent in a larger denomination or a different curren	core
smell	05658603	BiologicalAttribute	+			Q1541064					the faculty that enables us to distinguish scents	core
smile	06878071	Smiling	+			Q487					a facial expression characterized by turning up the corners of the mouth; usually shows pl	core
smoke	11508092	Smoke	=			Q130768	Mx4rvVi_TpwpEbGdrcN5Y29ycA				a cloud of fine particles suspended in a gas	core
smudge	04694441	VisualAttribute	+								"a blemish made by dirt; ""he had a smudge on his cheek"""	core
snail	01944390	Gastropod	+			Q308841					freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing	core
snake	01726692	Snake	=			Q2102	Mx4rvViT7pwpEbGdrcN5Y29ycA				limbless scaly elongate reptile; some are venomous	core
snow	11508382	Snowing	+			Q7561					precipitation falling from clouds in the form of ice crystals	core
snub	01225997	SubjectiveAssessmentAttribute	+			Q7548771					"a refusal to recognize someone you know; ""the snub was clearly intentional"""	core
soap	04253437	Soap	=			Q34396	Mx4rvVj4KZwpEbGdrcN5Y29ycA				a cleansing agent made from the salts of vegetable or animal fats	core
soccer	00478262	Soccer	=			Q2736					a football game in which two teams of 11 players try to kick or head a ball into the oppon	core
social-club	08227214	Club	=		Social_club	Q939871	Mx4r2O6GFr_CEdaAAAACs6ho1w				"a formal association of people with similar interests; ""he joined a golf club""; ""they form"	core
social-occasion	07447261	SocialParty	+				Mx4rvVjrvpwpEbGdrcN5Y29ycA				"a vaguely specified social event; ""the party was quite an affair""; ""an occasion arranged t"	core
social-science	06143154	SocialScience	=			Q34749	Mx4rvgPZF5wpEbGdrcN5Y29ycA				the branch of science that studies society and the relationships of individual within a so	core
social-welfare	01086945	Welfare	=			Q12002092					"governmental provision of economic assistance to persons in need; ""she lives on welfare"""	core
society	07966140	SubjectiveAssessmentAttribute	=		Society						an extended social group having a distinctive cultural and economic organization	core
sociology	06151693	Sociology	=			Q21201					the study and classification of human societies	core
sock	04254777	Sock	+			Q43663	Mx4rvViPuJwpEbGdrcN5Y29ycA				hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to betw	core
sodium	14655371	Sodium	=			Q658	Mx4rvVjUBpwpEbGdrcN5Y29ycA				a silvery soft waxy metallic element of the alkali metal group; occurs abundantly in natur	core
sofa	04256520	Sofa	=			Q131514	Mx4rvVjfFJwpEbGdrcN5Y29ycA				an upholstered seat for more than one person	core
software	06566077	ComputerProgram	+		Software	Q7397					(computer science) written programs or procedures or rules and associated documentation pe	core
software-agent							Mx4rwQl6r5wpEbGdrcN5Y29ycA					core
software-library	07977592	Collection	+			Q188860					(computing) a collection of standard programs and subroutines that are stored and availabl	core
soil	14844693	Soil	=			Q36133	Mx4rwAYi8pwpEbGdrcN5Y29ycA				the part of the earth's surface consisting of humus and disintegrated rock	core
soldier	10622053	Soldier	=		Soldier	Q4991371	Mx4rvVjrTpwpEbGdrcN5Y29ycA				"an enlisted man or woman who serves in an army; ""the soldiers stood at attention"""	core
solicitation	06513764	Requesting	+								"request for a sum of money; ""an appeal to raise money for starving children"""	core
solidarity	04765038	SubjectiveAssessmentAttribute	+			Q815726					a union of interests or purposes or sympathies among members of a group	core
solo	01257418	IntentionalProcess	+			Q270827					any activity that is performed alone without assistance	core
solution	00190783	SubjectiveAssessmentAttribute	+		Solution		Mx4rvVkFnJwpEbGdrcN5Y29ycA				"the successful action of solving a problem; ""the solution took three hours"""	core
soprano	06873139	BiologicalAttribute	+			Q30903	Mx4rvXmO05wpEbGdrcN5Y29ycA				the highest female voice; the voice of a boy before puberty	core
sorrow	07535670	Unhappiness	+			Q4729246	Mx4rvVi0wZwpEbGdrcN5Y29ycA				"sadness associated with some wrong done or some disappointment; ""he drank to drown his sor"	core
sound	05718254	Hearing	+		Sound						"the subjective sensation of hearing something; ""he strained to hear the faint sounds"""	core
soup	07583197	PreparedFood	+		Soup	Q41415	Mx4rvVj2XJwpEbGdrcN5Y29ycA				liquid food especially of meat or fish or vegetable stock often containing pieces of solid	core
south	13833375	South	=			Q667					the cardinal compass point that is at 180 degrees	core
sovereign	10628644	Monarch	+			Q116					a nation's ruler or head of state usually by hereditary right	core
space	06839190	Character	+		Space		Mx4rkkfpDL2XEdmAAAACs6hRjg				"a blank character used to separate successive words in writing or printing; ""he said the s"	core
spacecraft	04264914	Spacecraft	+		Spacecraft	Q11449356	Mx4rwQtlDpwpEbGdrcN5Y29ycA				a craft capable of traveling in outer space; technically, a satellite around the sun	core
spatial-extent	05093581	LengthMeasure	+								the magnitude of something in a particular direction (especially length or width or height	core
speaker	10630188	SocialRole	+			Q2324479					someone who expresses in language; someone who talks (especially someone who delivers a pu	core
specialist	10631941	SkilledOccupation	+			Q702269					an expert who is devoted to one occupation or branch of learning	core
species	08110373	Organism	=				Mx4rvVjK65wpEbGdrcN5Y29ycA				(biology) taxonomic group whose members can interbreed	core
specimen	05266879	BodySubstance	+			Q2075980					"a bit of tissue or blood or urine that is taken for diagnostic purposes; ""they collected a"	core
spectacles	04272054	EyeGlass	+			Q37501					optical instrument consisting of a frame that holds a pair of lenses for correcting defect	core
spectator	10633450	SocialRole	+								"a close observer; someone who looks at something (such as an exhibition of some kind); ""th"	core
spectrum	05128219	SubjectiveAssessmentAttribute	+								a broad range of related objects or values or qualities or ideas or activities	core
speech	07110457	Communication	+								"the exchange of spoken words; ""they were perfectly comfortable together without speech"""	core
spell	07159791	Text	+			Q2839930					"a verbal formula believed to have magical force; ""he whispered a spell as he moved his han"	core
sphere	13898899	Sphere	=			Q12507					a three-dimensional closed surface such that every point on the surface is equidistant fro	core
sphere-of-influence	08653570	GeopoliticalArea	+			Q593682					the geographical area in which one nation is very influential	core
spider	01772222	Arachnid	+			Q115128259	Mx4rvVjCnZwpEbGdrcN5Y29ycA				predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-sp	core
spinach	07736692	Spinach	=			Q36814998	Mx4rvViCs5wpEbGdrcN5Y29ycA				dark green leaves; eaten cooked or raw in salads	core
spinal-column	05588174	SpinalColumn	+				Mx4rvVkFEpwpEbGdrcN5Y29ycA				"the series of vertebrae forming the axis of the skeleton and protecting the spinal cord; """	core
spine	13089631	BodyPart	+								a small sharp-pointed tip resembling a spike on a stem or leaf	core
spirit	14526182	SubjectiveAssessmentAttribute	+		Spirit		Mx4rESuT3qJxQdeP56jILPRdlQ				"the general atmosphere of a place or situation and the effect that it has on people; ""the "	core
spiritualist	10306279	SocialRole	+			Q583271					"someone who serves as an intermediary between the living and the dead; ""he consulted sever"	core
split	09443136	Hole	+				Mx4rvezmq5wpEbGdrcN5Y29ycA				"a lengthwise crack in wood; ""he inserted the wedge into a split in the log"""	core
spokesman	10638310	Spokesperson	+			Q17221					a male spokesperson	core
spokesperson	10638385	Spokesperson	=			Q17221	Mx4rwQr5zpwpEbGdrcN5Y29ycA				"an advocate who represents someone else's policy or purpose; ""the meeting was attended by "	core
spontaneous-abortion	00230475	OrganismProcess	+			Q2781245					a natural loss of the products of conception	core
spoon	04284002	Tableware	+		Spoon	Q81895	Mx4rvVj1iZwpEbGdrcN5Y29ycA				a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serv	core
sport	00523513	Sport	=		Sport	Q349	Mx4rwPySLpwpEbGdrcN5Y29ycA				an active diversion requiring physical exertion and competition	core
spouse	10640620	SocialRole	+			Q1196129					a person's partner in marriage	core
spray	15056541	Water	+				Mx4rwP1nTpwpEbGdrcN5Y29ycA				water in small drops in the atmosphere; blown from waves or thrown up by a waterfall	core
spread	07856270	PreparedFood	+			Q5726634					a tasty mixture to be spread on bread or crackers or used in preparing other dishes	core
spreadsheet	06579952	ComputerProgram	+		Spreadsheet		Mx4rvViX1pwpEbGdrcN5Y29ycA				a screen-oriented interactive program enabling a user to lay out financial data on the scr	core
spring	04288272	Spring	+			Q102836					a metal elastic device that returns to its shape or position when pushed or pulled or pres	core
springtime	15237044	SpringSeason	+			Q1312					"the season of growth; ""the emerging buds were a sure sign of spring""; ""he will hold office"	core
spy	10641755	Position	+								(military) a secret agent hired by a state to obtain information about its enemies or by a	core
squad	08218122	MilitarySquad	+				Mx4rB5uhzjt6EdaAAACgye-oRQ				a smallest army unit	core
square	13878634	Square	=			Q164					(geometry) a plane rectangle with four equal sides and four right angles; a four-sided reg	core
stable	04294879	FarmBuilding	+		Stable	Q214252					a farm building for housing horses or other livestock	core
stadium	04295881	StationaryArtifact	+			Q483110	Mx4rvVjtnZwpEbGdrcN5Y29ycA				a large structure for open-air sports or entertainments	core
staff	08439955	Organization	+				Mx4rv4lhd5wpEbGdrcN5Y29ycA				"personnel who assist their superior in carrying out an assigned task; ""the hospital has an"	core
staff-rod	07267160	Icon	+								a rod carried as a symbol	core
stage	04296562	PerformanceStage	=			Q194428					"a large platform on which people can stand and can be seen by an audience; ""he clambered u"	core
stage-production	07006951	Demonstrating	=								"a presentation for the stage or screen or radio or television; ""have you seen the new prod"	core
stage-set	04297476	PerformanceStage	+			Q352867					representation consisting of the scenery and other properties used to identify the locatio	core
stairway	04298308	Steps	=			Q12511	Mx4rvVjkx5wpEbGdrcN5Y29ycA				a way of access (upward and downward) consisting of a set of steps	core
stake	13343526	SubjectiveAssessmentAttribute	+				Mx4rwQr23JwpEbGdrcN5Y29ycA				the money risked on a gamble	core
stalk	13129165	PlantBranch	=			Q134267	Mx4rwPviaZwpEbGdrcN5Y29ycA				a slender or elongated structure that supports a plant or fungus or a plant part or plant 	core
stall	04299215	Artifact	+								a booth where articles are displayed for sale	core
stand-base	02798574	Artifact	+								"a flat bottom on which something is intended to sit; ""a tub should sit on its own base"""	core
standard	07260623	NormativeAttribute	+								"a basis for comparison; a reference point against which other things can be evaluated; ""th"	core
star	09444783	Star	+		Star	Q523					any celestial body visible (as a point of light) from the Earth at night	core
star-shape	13881644	ShapeAttribute	+								a plane figure with 5 or more points; often used as an emblem	core
state	00024720	Proposition	+				Mx4rvVjnqJwpEbGdrcN5Y29ycA		state		"the way something is with respect to its main attributes; ""the current state of knowledge"""	core
state-of-matter	14479615	PhysicalState	=			Q11430	Mx4rvViRCJwpEbGdrcN5Y29ycA				(chemistry) the three traditional states of matter are solids (fixed shape and volume) and	core
statement	06516595	FinancialText	+	schema:Statement			Mx4rvWIKZpwpEbGdrcN5Y29ycA				a document showing credits and debits	core
station	08624385	GeographicArea	+			Q2114843					"the position where someone (as a guard or sentry) stands or is assigned to stand; ""a soldi"	core
statistics	06018465	Statistics	=		Statistics	Q12483					a branch of applied mathematics concerned with the collection and interpretation of quanti	core
statue	04306847	Sculpture	+		Statue	Q179700	Mx4rvgELj5wpEbGdrcN5Y29ycA				a sculpture representing a human or animal	core
status	13945919	SubjectiveAssessmentAttribute	=								"the relative position or standing of things or especially persons in a society; ""he had th"	core
steak	07657903	Meat	+		Stećak	Q213062	Mx4rwQCKhZwpEbGdrcN5Y29ycA				a slice of meat cut from the fleshy part of an animal or large fish	core
steam	15055181	Steam	=			Q3251738	Mx8Ngh4rwPzX7ZwpEbGdrcN5Y29ycB4rvVjAHZwpEbGdrcN5Y29ycA				water at boiling temperature diffused in the atmosphere	core
steel	14802450	Steel	=		Steel	Q11427					an alloy of iron with small amounts of carbon; widely used in construction; mechanical pro	core
step	04314914	Artifact	+				Mx4rvViItpwpEbGdrcN5Y29ycA				"support consisting of a place to rest the foot while ascending or descending a stairway; """	core
steward	10655594	Position	+			Q5263369					an attendant on an airplane	core
stick	04317420	Plant	+				Mx8Ngh4rwjh4oLdHQdeIfc0KIMuu4R8Ngh4rwPzUgpwpEbGdrcN5Y29ycB4rwQBrIJwpEbGdrcN5Y29ycA				"an implement consisting of a length of wood; ""he collected dry sticks for a campfire""; ""th"	core
stimulation	01261974	Process	+			Q4114622					the act of arousing an organism to action	core
sting	14297870	Injuring	+								a painful wound caused by the thrust of an insect's stinger into skin	core
stitch	04321238	Attaching	+				Mx4rTdXHjiqgQdiOsqrjqFgM_g				a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing	core
stock	04321534	Product	+								"the merchandise that a shop has on hand; ""they carried a vast inventory of hardware""; ""the"	core
stockholder	10657969	Investor	+			Q381136					someone who holds shares of stock in a corporation	core
stomach	05395690	Stomach	+			Q1029907	Mx4rvVjlqpwpEbGdrcN5Y29ycA				an enlarged and muscular saclike organ of the alimentary canal; the principal organ of dig	core
stone	11684739	BodyPart	+		Stone						the hard inner (usually woody) layer of the pericarp of some fruits (as peaches or plums o	core
stool	04326896	Chair	+			Q33163	Mx4rvViF35wpEbGdrcN5Y29ycA				a simple seat without a back or arms	core
stop	01056411	Keeping	+				Mx4raX-VWhlIQdidAJdv_n8vZA				"a brief stay in the course of a journey; ""they made a stopover to visit their friends"""	core
storey	03365991	BuildingLevel	+			Q831691					a structure consisting of a room or set of rooms at a single position along a vertical sca	core
storm	11462526	BeaufortNumberEleven	=		Storm	Q81054					a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipit	core
stove	04330340	Stove	+		Stove	Q182995					"a kitchen appliance used for cooking food; ""dinner was already on the stove"""	core
strand	02999757	ArtWork	+			Q756819	Mx4rP9fRtCwaEdiUggAH6RYvSQ				"a necklace made by a stringing objects together; ""a string of beads""; ""a strand of pearls"""	core
strap	04333500	Device	+			Q16990721	Mx4rwQBaLpwpEbGdrcN5Y29ycA				a band that goes over the shoulder and supports a garment or bag	core
straw	04334232	Tube	+			Q189211	Mx4rvgHf1ZwpEbGdrcN5Y29ycA				a thin paper or plastic tube used to suck liquids into the mouth	core
strawberry	07745940	Strawberry	=			Q14458220	Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rvVisvpwpEbGdrcN5Y29ycA				sweet fleshy red fruit	core
stream	09448361	StreamWaterArea	=		Stream	Q47521	Mx4rGxWxg1L1EdaCtgACs0uXdw				a natural body of running water flowing on or under the earth	core
street	04334599	Roadway	=		Street	Q79007	Mx4rvVj1FJwpEbGdrcN5Y29ycA				"a thoroughfare (usually including sidewalks) that is lined with buildings; ""they walked th"	core
streetcar	04335435	RailVehicle	+			Q3407658	Mx4r_3Df6iweQdiHmp8c4Rdu3g				a wheeled vehicle that runs on rails and is propelled by electricity	core
strength	05029706	SubjectiveAssessmentAttribute	+			Q2066956					"the property of being physically or mentally strong; ""fatigue sapped his strength"""	core
strike	01243674	LaborStriking	=			Q49776					"a group's refusal to work in protest against low pay or bad work conditions; ""the strike l"	core
string	04337974	String	+			Q11064354					a lightweight cord	core
strip	09449510	SelfConnectedObject	+				Mx4rF7aX9LtfEdmAAAACs6hRjg				"a relatively long narrow piece of something; ""he felt a flat strip of muscle"""	core
stroke	14082303	Stroke	=			Q8264724	Mx4rwP1bPpwpEbGdrcN5Y29ycA				a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel l	core
structure	04341686	Artifact	+		Structure	Q6671777	Mx4rvsWv_5wpEbGdrcN5Y29ycA				"a thing constructed; a complex entity constructed of many parts; ""the structure consisted "	core
struggle	00622068	IntentionalProcess	+								"strenuous effort; ""the struggle to get through the crowd exhausted her"""	core
student	10665698	SocialRole	+			Q48282					a learner who is enrolled in an educational institution	core
studio	04344246	ArtStudio	=		Studio	Q746628	Mx4rvgC4G5wpEbGdrcN5Y29ycA				"workplace for the teaching or practice of an art; ""she ran a dance studio""; ""the music dep"	core
study	04345028	Room	+			Q1759167	Mx4rvVi6DZwpEbGdrcN5Y29ycA				"a room used for reading and writing and studying; ""he knocked lightly on the closed door o"	core
stunt-man	10666846	Position	+								"a stand-in for movie stars to perform dangerous stunts; ""his first job in Hollywood was as"	core
style	06789215	Procedure	+								editorial directions to be followed in spelling and punctuation and capitalization and typ	core
subject	04347225	Object	+								something (a person or object or scene) selected by an artist or photographer for graphic 	core
submission	07167578	Text	+								something (manuscripts or architectural plans and models or estimates or works of art of a	core
subscriber	10670483	Human	+			Q1589282					someone who contracts to receive and pay for a service or a certain number of issues of a 	core
subsister	10681194	SocialRole	+								"one who lives through affliction; ""the survivors of the fire were taken to a hospital"""	core
substance	00020827	Substance	=	schema:Substance	Substance	Q35758			amount-of-matter	Substance	"that which has mass and occupies space; ""physicists study both the nature of matter and th"	core
suburb	08554440	Suburban	+		Suburb	Q188509	Mx4rvVj8QZwpEbGdrcN5Y29ycA				a residential district located on the outskirts of a city	core
success	07319103	IntentionalProcess	+				Mx4rwLJ3c5wpEbGdrcN5Y29ycA				"an event that accomplishes its intended purpose; ""let's call heads a success and tails a f"	core
suffering	07495327	EmotionalState	+			Q5780945					feelings of mental or physical pain	core
sugar	07859284	Sugar	=			Q11002	Mx4rvVjIPJwpEbGdrcN5Y29ycA				a white crystalline carbohydrate used as a sweetener and preservative	core
suggestion	07162680	Requesting	+								"a proposal offered for acceptance or rejection; ""it was a suggestion we couldn't refuse"""	core
suicide	00222485	Suicide	+		Suicide	Q10737	Mx4rwQrsYZwpEbGdrcN5Y29ycA				"the act of killing yourself; ""it is a crime to commit suicide"""	core
suit	04350905	ClothingSuit	+			Q614806					a set of garments (usually including a jacket and trousers or skirt) for outerwear all of 	core
suite	04351550	Suite	=	schema:Suite		Q1367530	Mx4rvViJYZwpEbGdrcN5Y29ycA				apartment consisting of a series of connected rooms used as a living unit (as in a hotel)	core
sulfur	14656219	Sulphur	=			Q682	Mx4rvVjm3JwpEbGdrcN5Y29ycA				an abundant tasteless odorless multivalent nonmetallic element; best known in yellow cryst	core
sum	07959016	Collection	+								"the final aggregate; ""the sum of all our troubles did not equal the misery they suffered"""	core
summary	06467007	Summary	=			Q776754	Mx4r2otxYkPeQdmUt4ivKHSwxA				"a brief statement that presents the main points in a concise form; ""he gave a summary of t"	core
summation	00872107	AdditionFn	=			Q32043					"the arithmetic operation of summing; calculating the sum of two or more numbers; ""the summ"	core
summer	15237250	SummerSeason	+			Q1313					the warmest season of the year; in the northern hemisphere it extends from the summer sols	core
summer-camp	02945594	Organization	+		Summer_camp		Mx4rv3BXzZwpEbGdrcN5Y29ycA				"a site where care and activities are provided for children during the summer months; ""city"	core
summit	08312359	Meeting	+		Summit	Q207326	Mx4ryncJZCTfQdeEidQ7vusDfQ				a meeting of heads of governments	core
sun	09450163	Sol	=			Q525	Mx4rlxNJlmKqEdqAAAACs71DGQ				"the star that is the source of light and heat for the planets in the solar system; ""the su"	core
sunday	15163797	Sunday	=			Q132	Mx4rvVjWN5wpEbGdrcN5Y29ycA				first day of the week; observed as a day of rest and worship by most Christians	core
sunlight	11485367	Sunlight	+			Q193788	Mx4rvViVapwpEbGdrcN5Y29ycA				"the rays of the sun; ""the shingles were weathered by the sun and wind"""	core
sunrise	07343910	Motion	+			Q193294	Mx4rvVjNG5wpEbGdrcN5Y29ycA				the daily event of the sun rising above the horizon	core
superintendent	10675721	Position	+								a caretaker for an apartment house; represents the owner as janitor and rent collector	core
supermarket	04358707	Corporation	+		Supermarket	Q180846					a large self-service grocery store selling groceries and dairy products and household good	core
supervisor	10676877	Position	+			Q1240788	Mx4r42_KFhrIQdiRQfhXDZ7-QQ				one who supervises or has charge and direction of	core
supply	13777344	SupplyFn	=				Mx4rwVXZKpwpEbGdrcN5Y29ycA				an amount of something available for use	core
support	01212519	Cooperation	+				Mx4rvVkHbJwpEbGdrcN5Y29ycA				"aiding the cause or policy or interests of; ""the president no longer has the support of hi"	core
support-device	04359589	Device	+								"any device that bears the weight of another thing; ""there was no place to attach supports "	core
surface	08660339	Region	+			Q484298	Mx4rvZWBA5wpEbGdrcN5Y29ycA				"the extended two-dimensional outer boundary of a three-dimensional object; ""they skimmed o"	core
surgeon	10679174	Surgeon	+			Q774306	Mx4rvVjoEZwpEbGdrcN5Y29ycA				a physician who specializes in surgery	core
surgery	06063588	FieldOfStudy	@			Q40821	Mx4rvViynJwpEbGdrcN5Y29ycA				"the branch of medical science that treats disease or injury by operative procedures; ""he i"	core
surprise	07298154	SubjectiveAssessmentAttribute	+				Mx4rvVjAzpwpEbGdrcN5Y29ycA				a sudden unexpected event	core
surrender	07542433	Despair	+			Q3769366	Mx4rvV4LYJwpEbGdrcN5Y29ycA				acceptance of despair	core
surrogate	10680153	SocialRole	+			Q29863201					someone who takes the place of another person	core
surroundings	08568256	Region	+								"the context and environment in which something is set; ""the perfect setting for a ghost st"	core
survival	13563746	Process	+			Q721322					a natural process resulting in the evolution of organisms best adapted to the environment	core
survivor	10681060	SocialRole	+			Q6136036	Mx4rq3lF1hlJQdiNGqwKMsLw5A				"one who outlives another; ""he left his farm to his survivors"""	core
suspect	10681383	SocialRole	+			Q224952					someone who is under suspicion	core
sweater	04370048	Clothing	+			Q232191	Mx4rvVkBipwpEbGdrcN5Y29ycA				a crocheted or knitted garment covering the upper part of the body	core
swing	00327824	Motion	+			Q188688	Mx4rwQxGhpwpEbGdrcN5Y29ycA				changing location by moving back and forth	core
switch	00196084	Substituting	+								"the act of changing one thing or position for another; ""his switch on abortion cost him th"	core
sword	04373894	Sword	+		Sword	Q274556	Mx4rvVj_15wpEbGdrcN5Y29ycA				a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard	core
syllable	06304671	Syllable	=								"a unit of spoken language larger than a phoneme; ""the word `pocket' has two syllables"""	core
symbol	06806469	Character	=		Symbol	Q80071					an arbitrary sign (written or printed) that has acquired a conventional significance	core
sympathetic-concern	07504841	Concern	=								"a feeling of sympathy for someone or something; ""She felt strong concern for those less fo"	core
sympathy	06199142	IntentionalRelation	+				Mx4rvVive5wpEbGdrcN5Y29ycA				"an inclination to support or be loyal to or to agree with an opinion; ""his sympathies were"	core
symptom	14299637	PathologicProcess	+			Q169872	Mx4rLvFXyp9oEdyAAAATco72kA				(medicine) any sensation or change in bodily function that is experienced by a patient and	core
syndrome	14304060	PathologicProcess	+		Syndrome		Mx4rv7sZaZwpEbGdrcN5Y29ycA				a pattern of symptoms indicative of some disease	core
system	08435388	Collection	+		System		Mx4rv9Xu1ZwpEbGdrcN5Y29ycA				"a group of independent but interrelated elements comprising a unified whole; ""a vast syste"	core
table	04379964	Table	+	schema:Table		Q14748					"a piece of furniture with tableware for a meal laid out on it; ""I reserved a table at my f"	core
tabular-array	08266235	ContentBearingObject	+			Q496946					"a set of data arranged in rows and columns; ""see table 1"""	core
tactic	05905152	Plan	+								a plan for attaining a particular goal	core
tail	02157557	Tail	=			Q60960					the posterior part of the body of a vertebrate especially when elongated and extending bey	core
talk	07135734	Speaking	+								"an exchange of ideas via conversation; ""let's have more work and less talk around here"""	core
tan	14290534	Injuring	+			Q1670336	Mx4r2sRPdHS-EdaAAACgyZzFrg				a browning of the skin resulting from exposure to the rays of the sun	core
tank	04389033	MilitaryTank	=		Tank	Q12876	Mx4rwQB8vpwpEbGdrcN5Y29ycA				an enclosed armored military vehicle; has a cannon and moves on caterpillar treads	core
tape	04391569	Tape	=				Mx4rwQBeS5wpEbGdrcN5Y29ycA				"a long thin piece of cloth or paper as used for binding or fastening; ""he used a piece of "	core
tape-recording	04391838	Recording	+				Mx4rvVkIepwpEbGdrcN5Y29ycA				"a recording made on magnetic tape; ""the several recordings were combined on a master tape"""	core
tapeline	04392113	Device	+			Q214649					measuring instrument consisting of a narrow strip (cloth or metal) marked in inches or cen	core
target	07262108	Device	+			Q1047579	Mx4rvViogpwpEbGdrcN5Y29ycA				"a reference point to shoot at; ""his arrow hit the mark"""	core
tariff	13315999	DutyTax	=			Q52389	Mx4rwRKVWZwpEbGdrcN5Y29ycA				"a government tax on imports or exports; ""they signed a treaty to lower duties on trade bet"	core
taste	05658226	BiologicalAttribute	+			Q124794	Mx4rpisE_MsJEdmAAAACs6hRjg				"the faculty of distinguishing sweet, sour, bitter, and salty properties in the mouth; ""his"	core
tax	13308999	CurrencyMeasure	+		Tax						charge against a citizen's person or property or activity for the support of government	core
tax-return	06548671	TaxReturn	+			Q2861384	Mx4rwPvGh5wpEbGdrcN5Y29ycA				"document giving the tax collector information about the taxpayer's tax liability; ""his gro"	core
taxpayer	10694163	Tax	=				Mx4rKeRuthlNQdiJ15FOZtuSRA				someone who pays taxes	core
tea	07933274	Tea	=		Tea	Q6097	Mx4rvViLDpwpEbGdrcN5Y29ycA				"a beverage made by steeping tea leaves in water; ""iced tea is a cooling drink"""	core
teacher	10694258	Teacher	=			Q64760507					a person whose occupation is teaching	core
teaching	00887081	EducationalProcess	+			Q7922	Mx4rvVix4JwpEbGdrcN5Y29ycA				"the profession of a teacher; ""he prepared for teaching while still in college""; ""pedagogy "	core
team	08208560	Organization	=		Team	Q327245	Mx4rvZowY5wpEbGdrcN5Y29ycA				a cooperative unit (especially in sports)	core
tear	05405324	TearSubstance	+			Q76469					"a drop of the clear salty saline solution secreted by the lacrimal glands; ""his story brou"	core
telephone-line	04402057	Cable	+			Q1373572					a telephone connection	core
television	04404412	TelevisionStation	=		Television	Q289					a telecommunication system that transmits images of objects (stationary or moving) between	core
television-receiver	04405907	TelevisionSet	=								"an electronic device that receives television signals and displays them on a screen; ""the "	core
temper	07551052	Anger	=				Mx4rvVj3mZwpEbGdrcN5Y29ycA				"a characteristic (habitual or relatively temporary) state of feeling; ""whether he praised "	core
temple	04407435	ReligiousBuilding	+		Temple	Q427287	Mx4rwQwW0ZwpEbGdrcN5Y29ycA				place of worship consisting of an edifice for the worship of a deity	core
temple-of-head	05602683	BodyPart	+			Q243999					"the flat area on either side of the forehead; ""the veins in his temple throbbed"""	core
tempo	15283097	SpeedFn	+			Q3306516					the rate of some repeating event	core
tenant	10700201	SocialRole	+			Q10530883	Mx4rY-F1_BlLQdiGY4eFFDb26w				"someone who pays rent to use land or a building or a car that is owned by someone else; ""t"	core
tendency	08681777	PositionalAttribute	+								"a general direction in which something tends to move; ""the shoreward tendency of the curre"	core
tending	00654885	Maintaining	+								"the work of providing treatment for or attending to someone or something; ""no medical care"	core
tennis	00482298	Tennis	=			Q847					a game played with rackets by two or four players who hit a ball back and forth over a net	core
tension	14376188	SubjectiveAssessmentAttribute	=			Q3500368	Mx4rvVizDZwpEbGdrcN5Y29ycA				"(psychology) a state of mental or emotional strain or suspense; ""he suffered from fatigue "	core
tensity	14544335	InternalAttribute	+								"the physical condition of being stretched or strained; ""it places great tension on the leg"	core
tent	04411264	Tent	=		Tent	Q170544	Mx4rvVi0AZwpEbGdrcN5Y29ycA				a portable shelter (usually of canvas stretched over supporting poles and fastened to the 	core
term	06303888	NounPhrase	=								"a word or expression used for some particular thing; ""he learned many medical terms"""	core
terminal	04413419	Device	+			Q216640					electronic equipment consisting of a device providing access to a computer; has a keyboard	core
terminology	06304059	Word	+			Q1725664					"a system of words used to name things in a particular discipline; ""legal terminology""; ""bi"	core
territory	08493064	GeographicArea	+		Territory		Mx4rvVih3JwpEbGdrcN5Y29ycA				"the geographical area under the jurisdiction of a sovereign state; ""American troops were s"	core
terrorist	10702781	Terrorist	=			Q12414919	Mx4rva-nGZwpEbGdrcN5Y29ycA				a radical who employs terror as a political weapon; usually organizes with other terrorist	core
text	06387980	Text	=			Q234460					"the words of something written; ""there were more than a thousand words of text""; ""they han"	core
text-message												core
text-passage	06400271	Text	+								a section of text; particularly a section of medium length	core
textbook	06414372	Book	+		Textbook	Q83790	Mx4rvVjaBZwpEbGdrcN5Y29ycA				"a book prepared for use in schools or colleges; ""his economics textbook is in its tenth ed"	core
texture	04946877	TextureAttribute	+				Mx4rvVjgBpwpEbGdrcN5Y29ycA				"the feel of a surface or a fabric; ""the wall had a smooth texture"""	core
thanks	07228971	Thanking	+								an acknowledgment of appreciation	core
theatrical-role	05929008	DramaticActing	+								"an actor's portrayal of someone in a play; ""she played the part of Desdemona"""	core
theme	05920272	Proposition	+								"a unifying idea that is a recurrent element in literary or artistic work; ""it was the usua"	core
theology	06182144	Theology	=			Q34178					the rational and systematic study of religion and its influences and of the nature of reli	core
