name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	opencyc	bfo	dolce	dul	gloss	origin
attribute	00024264	Attribute	=				Mx4rqs8mVL8bEdmAAAACs6hRjg				an abstraction belonging to or characteristic of an entity	core
auction	00092366	Auctioning	=			Q177923	Mx4rvotkAJwpEbGdrcN5Y29ycA				the public sale of something to the highest bidder	core
audience	08221897	Perception	+	schema:Audience		Q211198					"a gathering of spectators or listeners at a (usually public) performance; ""the audience ap"	core
audio	04262678	AudioRecording	=			Q5057302					a recording of acoustic signals	core
auditor	09823153	Human	+			Q10949665	Mx4rvVjiBJwpEbGdrcN5Y29ycA				a student who attends a course but does not take it for credit	core
augury	07286014	SubjectiveAssessmentAttribute	+			Q1120735					"an event that is experienced as indicating important things to come; ""he hoped it was an a"	core
aunt	09823502	BiologicalAttribute	+			Q41805477					the sister of your father or mother; the wife of your uncle	core
authorities	09824609	SocialRole	+								"(usually plural) persons who exercise (administrative) control over others; ""the authoriti"	core
authority	09824361	Human	+								"an expert whose views are taken as definitive; ""he is an authority on corporate law"""	core
automaton	02761392	Device	+			Q11012					a mechanism that can move automatically	core
automobile-horn	02761834	ElectricDevice	+			Q1146163					a device on an automobile for making a warning noise	core
autonomy	14001031	Attribute	+								personal independence	core
avant-garde	08465558	Group	+			Q102932					any creative group active in the innovation and application of new concepts and techniques	core
avenue	02763472	StationaryArtifact	+			Q7543083	Mx4r_FvEphlJQdiJV5A37qwXrA				a wide street or thoroughfare	core
average	06021761	Quantity	+		Average						"a statistic describing the location of a distribution; ""it set the norm for American homes"	core
aviation	08067218	FlyingAircraft	+		Aviation	Q765633					the operation of aircraft to provide transportation	core
avocation	00432689	RecreationOrExercise	+			Q1267055					an auxiliary activity	core
axis	02764614	EngineeringComponent	+			Q792567	Mx4rvVjqj5wpEbGdrcN5Y29ycA				the center around which something rotates	core
baby	09827683	HumanBaby	=			Q998					"a very young child (birth to 1 year) who has not yet begun to walk or talk; ""the baby bega"	core
baby-buggy	02766534	UnpoweredVehicle	+								a small vehicle with four wheels in which a baby or child is pushed around	core
background	04921417	PastFn	+								"a person's social heritage: previous experience or training; ""he is a lawyer with a sports"	core
backlog	13368052	Keeping	+			Q2710737					something kept back or saved for future use or a special purpose	core
bacon	07670433	Bacon	=			Q11106	Mx4rvWKeipwpEbGdrcN5Y29ycA				back and sides of a hog salted and dried or smoked; usually sliced thin and fried	core
bacterium	01348530	Bacterium	=			Q10876	Mx4rvVjU-5wpEbGdrcN5Y29ycA				(microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms la	core
bag	02773838	TravelContainer	+		Bag	Q200814					"a portable rectangular container for carrying clothes; ""he carried his small bag onto the "	core
bail	05903445	Procedure	+			Q162351					the legal system that allows an accused person to be temporarily released from custody (us	core
bail-bond	13350976	CurrencyMeasure	+								(criminal law) money that must be forfeited by the bondsman if an accused person fails to 	core
bait	05695232	SubjectiveAssessmentAttribute	+								anything that serves as an enticement	core
balance	13408980	Attribute	+			Q1530280					equality between the totals of the credit and debit sides of an account	core
balcony	02777734	Balcony	=		Balcony	Q170552					a platform projecting from the wall of a building and surrounded by a balustrade or railin	core
ball	02778669	Ball	=			Q2356340					"round object that is hit or thrown or kicked in games; ""the ball travelled 90 mph on his s"	core
ballet	00528667	Dancing	+		Ballet	Q41425	Mx4rvYkGtJwpEbGdrcN5Y29ycA				a theatrical representation of a story that is performed to music by trained dancers	core
balloon	02782329	Balloon	=			Q643435	Mx4rvVjsl5wpEbGdrcN5Y29ycA				small thin inflatable rubber bag with narrow neck	core
ballot	06470922	Ballot	=				Mx4rqg-zgDoYQdeOY6ItKBOryg				a document listing the alternatives that is used in voting	core
banana	07753592	Banana	=				Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rvViwXZwpEbGdrcN5Y29ycA				elongated crescent-shaped yellow fruit with soft sweet flesh	core
band	02784732	Fabric	+			Q4902580	Mx4rvgEZGJwpEbGdrcN5Y29ycA				an adornment consisting of a strip of a contrasting color or material	core
bandage	02785648	Fabric	+				Mx4rwP1cE5wpEbGdrcN5Y29ycA				a piece of soft material that covers and protects an injured part of the body	core
bang	07376257	RadiatingSound	+								a sudden very loud noise	core
